pair_type,proposal_key,match_method,human_reviewer,ai_model,cosine_similarity,sentiment_alignment,categorical_agreement,categorical_agreement_num,ai_model_1,ai_model_2,ai_model_pair,human_reviewer_1,human_reviewer_2
human-ai,Y1_01,exact,human-reviewer-1,gpt-5.2,0.9666780233383179,0.9983333333333333,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-1,gemini-3-pro-preview,0.9678813219070435,0.9308333333333333,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-1,claude-opus-4-5,0.9642748832702637,0.9488888888888889,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-2,gpt-5.2,0.9635580778121948,0.9456249999999999,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-2,gemini-3-pro-preview,0.9690636396408081,0.9835416666666666,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-2,claude-opus-4-5,0.9542973041534424,0.9984027777777778,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-3,gpt-5.2,0.9506312012672424,0.9319444444444445,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-3,gemini-3-pro-preview,0.945916473865509,0.9972222222222222,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-3,claude-opus-4-5,0.92192542552948,0.9847222222222223,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-4,gpt-5.2,0.92787766456604,0.85,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-4,gemini-3-pro-preview,0.9340391159057617,0.9208333333333334,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-4,claude-opus-4-5,0.947425127029419,0.9027777777777778,agree,2,,,,,
ai-ai,Y1_01,exact,,,0.973638117313385,0.9291666666666667,agree,2,gpt-5.2,gemini-3-pro-preview,gemini-3-pro-preview vs gpt-5.2,,
ai-ai,Y1_01,exact,,,0.9675037860870361,0.9472222222222222,agree,2,gpt-5.2,claude-opus-4-5,claude-opus-4-5 vs gpt-5.2,,
