condition,task,text_version,field,comparison,facet,metric,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_boot,notes
baseline,proposals,original,whole,human_vs_claude,simpson_similarity,gini_simpson,,0.1675455008269,0.11859950664458563,0.7078644670209137,ratio,0.11688643798777798,0.11950089751593079,0.1628329090030859,0.16969434501020303,permutation,0.04894599418231438,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,original,whole,human_vs_gemini,simpson_similarity,gini_simpson,,0.1675455008269,0.20903527238274777,1.2476328600355135,ratio,0.17914050858531974,0.21328026519540552,0.1628329090030859,0.16969434501020303,permutation,-0.041489771555847765,0.9799020097990201,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,original,whole,human_vs_gpt,simpson_similarity,gini_simpson,,0.1675455008269,0.10001044534599035,0.5969151356043655,ratio,0.09777610446278964,0.10158080441339742,0.1628329090030859,0.16969434501020303,permutation,0.06753505548090966,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,original,whole,human_vs_pooled_ai,simpson_similarity,gini_simpson,,0.1675455008269,0.15640226456194717,0.933491283203925,ratio,0.12483186961677732,0.20770706157406998,0.1628329090030859,0.16969434501020303,same_size_subsample,0.011143236264952838,0.997002997002997,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
baseline,proposals,original,whole,human_vs_claude,simpson_similarity,inverse_simpson,,1.2012668572196168,1.134558021624299,0.944467929674079,ratio,1.1323572108410975,1.135719515980488,1.1945064106736265,1.2043757807957718,permutation,0.06670883559531782,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,original,whole,human_vs_gemini,simpson_similarity,inverse_simpson,,1.2012668572196168,1.2642788800613873,1.05245464191663,ratio,1.220330240745586,1.271100700732636,1.1945064106736265,1.2043757807957718,permutation,-0.06301202284177054,0.984001599840016,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,original,whole,human_vs_gpt,simpson_similarity,inverse_simpson,,1.2012668572196168,1.1111240067496542,0.9249601785579916,ratio,1.1083724504440493,1.113066185418873,1.1945064106736265,1.2043757807957718,permutation,0.09014285046996262,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,original,whole,human_vs_pooled_ai,simpson_similarity,inverse_simpson,,1.2012668572196168,1.1871855050277134,0.988277915013409,ratio,1.1426375862023248,1.2621594256593085,1.1945064106736265,1.2043757807957718,same_size_subsample,0.014081352191903429,1.0,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
baseline,proposals,original,whole,human_vs_claude,simpson_categorical,gini_simpson,literature_region,0.6427221172022684,0.6427221172022684,1.0,ratio,,,,,permutation,0.0,1.0,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
baseline,proposals,original,whole,human_vs_gemini,simpson_categorical,gini_simpson,literature_region,0.6427221172022684,0.6767485822306238,1.0529411764705885,ratio,,,,,permutation,0.03402646502835549,0.4894510548945106,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
baseline,proposals,original,whole,human_vs_gpt,simpson_categorical,gini_simpson,literature_region,0.6427221172022684,0.45368620037807184,0.7058823529411765,ratio,,,,,permutation,0.18903591682419651,0.009599040095990401,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
