pair_type,proposal_key,match_method,human_reviewer,ai_model,cosine_similarity,sentiment_alignment,categorical_agreement,categorical_agreement_num,ai_model_1,ai_model_2,ai_model_pair,human_reviewer_1,human_reviewer_2
human-ai,Y1_01,exact,human-reviewer-1,gpt-5.2,0.9538216590881348,0.953216032776747,partial,1,,,,,
human-ai,Y1_01,exact,human-reviewer-1,gemini-3-pro-preview,0.9665946364402771,0.9374452541048695,partial,1,,,,,
human-ai,Y1_01,exact,human-reviewer-1,claude-opus-4-5,0.9764066934585571,0.9405989279588336,partial,1,,,,,
human-ai,Y1_01,exact,human-reviewer-2,gpt-5.2,0.9534079432487488,0.9888805482936976,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-2,gemini-3-pro-preview,0.9747222661972046,0.9953486730344248,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-2,claude-opus-4-5,0.9831916093826294,0.9985023468883889,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-3,gpt-5.2,0.9416577816009521,0.9829588419099697,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-3,gemini-3-pro-preview,0.9540588855743408,0.9987296205818473,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-3,claude-opus-4-5,0.9437472820281982,0.9955759467278832,agree,2,,,,,
human-ai,Y1_01,exact,human-reviewer-4,gpt-5.2,0.9516767263412476,0.9546714079571222,partial,1,,,,,
human-ai,Y1_01,exact,human-reviewer-4,gemini-3-pro-preview,0.9709105491638184,0.9389006292852446,partial,1,,,,,
human-ai,Y1_01,exact,human-reviewer-4,claude-opus-4-5,0.9740638732910156,0.9420543031392088,partial,1,,,,,
ai-ai,Y1_01,exact,,,0.9771314263343811,0.9842292213281224,agree,2,gpt-5.2,gemini-3-pro-preview,gemini-3-pro-preview vs gpt-5.2,,
ai-ai,Y1_01,exact,,,0.9688819646835327,0.9873828951820866,agree,2,gpt-5.2,claude-opus-4-5,claude-opus-4-5 vs gpt-5.2,,
ai-ai,Y1_01,exact,,,0.9853172302246094,0.9968463261460359,agree,2,gemini-3-pro-preview,claude-opus-4-5,claude-opus-4-5 vs gemini-3-pro-preview,,
human-human,Y1_01,exact,,,0.9759647250175476,0.9420965810704447,partial,1,,,,human-reviewer-1,human-reviewer-2
human-human,Y1_01,exact,,,0.9415832757949829,0.9361748746867168,partial,1,,,,human-reviewer-1,human-reviewer-3
human-human,Y1_01,exact,,,0.9630311131477356,0.9985446248196248,agree,2,,,,human-reviewer-1,human-reviewer-4
human-human,Y1_01,exact,,,0.9375286102294922,0.9940782936162721,agree,2,,,,human-reviewer-2,human-reviewer-3
human-human,Y1_01,exact,,,0.9605752229690552,0.9435519562508199,partial,1,,,,human-reviewer-2,human-reviewer-4
