model,title,abstract,generated_at
gpt-5.2,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,"Biomolecular condensates formed by phase separation are quintessential mesoscale structures whose emergent material properties (viscosity, elasticity, interfacial tension, aging) shape gene regulation, signaling, and stress responses. Yet the field remains fragmented: biophysical measurements are reported in disparate experimental systems, while large-scale imaging, proteomics, and genetics datasets rarely connect condensate material state to cellular outcomes. This working group will synthesize publicly available datasets to build a unified, cross-species map linking condensate composition and sequence features to emergent material properties and downstream phenotypes.

We will integrate (i) curated condensate component databases (e.g., LLPSDB, PhaSepDB, DrLLPS), (ii) protein sequence/structure annotations (AlphaFold DB, InterPro, disorder predictors, prion-like domain catalogs), (iii) high-content microscopy repositories and segmentation-ready image sets (Cell Painting, Image Data Resource, Human Protein Atlas subcellular localization, yeast GFP collections), (iv) proteomics and interactomics (PRIDE, BioGRID, HuRI), and (v) perturbation-response resources (DepMap CRISPR screens, GEO/ArrayExpress transcriptomics, LINCS). We will extract quantitative condensate phenotypes from images using reproducible pipelines (CellProfiler/napari + deep learning segmentation) and harmonize them with reported rheology/FRAP-derived metrics from the literature via text-mining and manual curation.

The core scientific questions are: (1) Which molecular features (valency, charge patterning, aromatic content, disorder architecture, multimerization) best predict condensate material state across contexts? (2) Do distinct “material property regimes” correspond to conserved functional outputs (e.g., transcriptional bursts, stress granule-mediated translation control) and pathological transitions (e.g., solidification in neurodegeneration)? (3) Can we identify universal versus lineage-specific design principles for mesoscale organization?

Methodologically, we will develop multimodal machine learning models that jointly embed sequence/structure, interaction networks, and image-derived condensate morphology to predict material properties and phenotypic consequences. We will emphasize interpretable models (e.g., graph neural networks with attention over interaction motifs; sparse additive models over sequence features) to generate testable hypotheses. Benchmark tasks and open evaluation sets will be released to spur community contributions.

NCEMS support is essential because the project requires coordinated expertise spanning polymer physics, cell biology, computer vision, NLP-based literature mining, and statistical learning, plus the infrastructure to host community curation sprints and model hackathons. The working group will include experimentalists who understand assay biases, data scientists to build harmonization pipelines, and theorists to connect emergent properties to mesoscale physics.

Training will be embedded via trainee-led “data carpentry” modules on image analysis, reproducible ML, and open curation, culminating in a public, versioned knowledge graph of condensate properties and an open-source toolkit to relate condensate material state to cellular function. Outputs will follow open science practices: containerized workflows, FAIR metadata schemas, and pre-registered analysis plans to ensure reproducibility and broad reuse.",2026-03-17T16:45:07.677160
gpt-5.2,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data","Membrane contact sites (MCS) between organelles (ER–mitochondria, ER–endosome, mitochondria–lysosome, etc.) are mesoscale hubs for lipid transfer, calcium signaling, and organelle dynamics. Despite rapid discovery of tethering proteins and lipid transporters, fundamental questions remain: What network architectures make MCS robust? Which molecular features predict contact specificity? How do contacts rewire under stress and disease? Addressing these requires synthesis across proteomics, imaging, and functional genomics—data that exist publicly but are rarely integrated.

This working group will assemble and harmonize diverse datasets: (i) proximity labeling proteomics (BioID/APEX datasets in PRIDE) targeting organelle membranes and known MCS components, (ii) subcellular localization and co-localization imaging (Human Protein Atlas, IDR, yeast GFP libraries), (iii) organelle morphology and dynamics from high-content screens (Cell Painting, Mitobank-like imaging sets), (iv) genetic interaction maps (yeast GI networks, DepMap coessentiality), and (v) lipidomics and metabolomics studies that report contact-dependent flux phenotypes (Metabolomics Workbench). We will create a standardized ontology for contact site types, experimental modalities, and confidence levels, enabling cross-study comparisons.

Scientific aims: (1) Infer a conserved “contactome” by building probabilistic networks of MCS proteins and their organelle-pair specificity across species. (2) Identify emergent network motifs (redundant tethers, modular lipid-transfer units, stress-inducible adapters) that confer robustness to perturbations. (3) Link MCS network states to higher-order phenotypes such as mitochondrial fission/fusion balance, lysosomal positioning, and unfolded protein responses, using integrated imaging and transcriptomic readouts.

Analytically, we will develop multi-layer network models that combine physical proximity evidence (proximity proteomics), functional coupling (genetic interactions/coessentiality), and spatial co-localization (image-derived metrics). We will apply community detection and dynamic network inference to detect condition-specific rewiring. To address heterogeneity and batch effects, we will use hierarchical Bayesian models and domain adaptation methods for imaging features. Interpretability will be prioritized to yield mechanistic hypotheses (e.g., predicting which tethers compensate for loss of a lipid transporter in specific cell states).

NCEMS resources are critical to convene organelle biologists, mass spectrometrists, imaging experts, network scientists, and statisticians to agree on standards, curate metadata, and build shared pipelines. The project exceeds single-lab capacity because it requires cross-modal harmonization, extensive curation of experimental context, and robust benchmarking across organisms and cell types.

Deliverables will include an open, queryable MCS knowledge graph; reproducible workflows for integrating proximity proteomics with imaging and genetics; and a set of predictive models linking contact-site composition to organelle phenotypes. Training components will include trainee-led annotation jamborees, tutorials on network inference and image feature extraction, and open challenges to engage new talent. All code, derived datasets, and documentation will be released under permissive licenses with full provenance tracking.",2026-03-17T16:45:07.677173
gpt-5.2,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models","The cytoskeleton is a paradigmatic emergent system: local interactions among actin, microtubules, motors, and crosslinkers generate mesoscale structures (stress fibers, asters, cortical networks) that determine cell shape, division, and migration. While thousands of imaging experiments and perturbation datasets exist, we lack a synthesis that connects molecular composition and regulation to emergent cytoskeletal architectures across cell types and conditions.

This working group will integrate publicly available resources spanning (i) live-cell imaging repositories (Image Data Resource, Cell Image Library) containing actin/microtubule reporters and perturbations, (ii) high-content morphological profiling (Cell Painting) that captures cytoskeleton-dependent shape features, (iii) proteomics of cytoskeletal fractions and interactomes (PRIDE, BioGRID), (iv) phosphorylation and signaling datasets relevant to cytoskeletal regulation (PhosphoSitePlus, CPTAC), and (v) CRISPR/RNAi perturbation screens affecting migration, adhesion, and cytokinesis (DepMap, genome-wide RNAi datasets). We will build standardized pipelines to extract quantitative descriptors of cytoskeletal organization from images (filament orientation fields, network anisotropy, bundle thickness, dynamic instability proxies) using computer vision and biophysical feature engineering.

Key questions: (1) What molecular “control knobs” (motor abundance, crosslinker type, post-translational modifications) most strongly determine emergent cytoskeletal patterns? (2) Are there universal low-dimensional “states” of cytoskeletal organization shared across cell types, or are patterns strongly context-specific? (3) Can we predict transitions between states (e.g., lamellipodial to contractile) from upstream signaling and protein composition?

We will develop integrative models that combine image-derived cytoskeletal metrics with omics features using representation learning and causal inference. A central methodological contribution will be bridging data-driven embeddings with mechanistic active gel and polymerization models: we will fit simplified biophysical models to observed mesoscale patterns, enabling interpretable parameters (effective contractility, polymerization rate, crosslinking strength) to be inferred from imaging at scale. This “mechanistic latent space” will allow cross-dataset comparisons even when imaging modalities differ.

NCEMS support is needed to coordinate multidisciplinary expertise—cell biophysicists, imaging analysts, ML researchers, and statisticians—to create community standards for cytoskeletal feature extraction and to host collaborative model-fitting sprints. The scale of harmonizing diverse imaging modalities and linking them to proteomic and perturbation data exceeds typical lab capabilities.

Outputs will include an open Cytoskeletal Self-Organization Atlas with harmonized features, metadata, and embeddings; containerized workflows for image-to-physics parameter inference; and predictive models linking molecular perturbations to emergent architectures and cellular behaviors. Training will be delivered through hands-on workshops on reproducible imaging analysis, mechanistic modeling, and multimodal data integration, with trainees leading benchmark dataset creation and documentation. All results will be disseminated openly, enabling broad reuse and accelerating discovery of general principles of cytoskeletal emergence.",2026-03-17T16:45:07.677176
gpt-5.2,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function","Chromatin folds into mesoscale structures—loops, topologically associating domains (TADs), compartments, and transcriptional hubs—that exhibit emergent behavior not predictable from individual DNA-binding events. Although vast public datasets exist (Hi-C and derivatives, ChIP-seq, ATAC-seq, imaging), fundamental puzzles persist: Which molecular mechanisms are necessary and sufficient for domain formation? How do domains relate to transcriptional variability, replication timing, and genome stability across cell types and species?

This working group will synthesize (i) 3D genome conformation datasets (4D Nucleome, GEO Hi-C/Micro-C, Capture-C), (ii) super-resolution and multiplexed imaging of chromatin organization (4DN imaging, IDR), (iii) epigenomic profiles (ENCODE/Roadmap ChIP-seq, ATAC-seq), (iv) single-cell multi-omics (scATAC+scRNA, scHi-C where available), and (v) perturbation datasets targeting cohesin/CTCF, chromatin remodelers, and transcription machinery (CRISPR screens, degron time courses in GEO). We will harmonize metadata (cell cycle state, differentiation stage, perturbation timing) and implement standardized processing pipelines to generate comparable domain calls and imaging-derived spatial metrics.

Scientific aims: (1) Identify conserved versus context-specific rules linking epigenomic patterns to emergent 3D domains. (2) Quantify how perturbations shift domain boundaries and compartmentalization, and how these shifts propagate to gene expression variability and replication timing. (3) Test competing mechanistic models—loop extrusion, compartmental phase separation, transcription-driven clustering—by fitting them to cross-modal observations and evaluating predictive performance.

Methodologically, we will build a model comparison framework in which mechanistic simulations (polymer models with extrusion and compartment interactions) are calibrated using summary statistics derived from Hi-C and imaging. We will pair this with machine learning predictors that map 1D epigenomic tracks to 3D organization, using interpretable architectures (e.g., attention over regulatory elements, graph models over genomic bins). A key innovation will be integrating imaging constraints to reduce identifiability issues inherent in Hi-C-only inference.

NCEMS support is essential because the work requires coordinated expertise in polymer physics, genomics, imaging, and statistics, plus community agreement on standards for cross-study domain comparisons. The project’s scale—processing hundreds of datasets, curating perturbation metadata, and running model-fitting pipelines—demands dedicated synthesis infrastructure and collaborative working sessions.

Deliverables will include an open benchmark suite for 3D genome model evaluation; harmonized, analysis-ready matrices and imaging-derived metrics; and a public “Mechanisms of Chromatin Domains” resource with reproducible workflows. Training will be incorporated through trainee-led reproducibility audits, tutorials on 3D genome processing, and open-source contributions to simulation and ML toolkits. The synthesis will yield deeper, more generalizable insights into how mesoscale chromatin organization emerges and controls nuclear function.",2026-03-17T16:45:07.677178
gpt-5.2,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data","Cells rely on thousands of protein complexes whose emergent functions depend on correct stoichiometry and assembly order. Despite abundant public data—structures, interaction maps, quantitative proteomics, and translation dynamics—we lack an integrated understanding of how assembly pathways and dosage constraints shape complex composition across conditions and species. This working group will build a synthesis framework to infer complex stoichiometry control principles and predict assembly vulnerabilities.

We will integrate (i) structural repositories (PDB, AlphaFold DB, EMDB) to define interfaces and assembly intermediates, (ii) curated complex catalogs (CORUM, Complex Portal), (iii) quantitative proteomics across tissues and perturbations (PRIDE, CPTAC), (iv) ribosome profiling and translation initiation datasets (GWIPS-viz-linked studies in GEO), (v) chaperone interaction and co-translational assembly evidence (BioGRID, proximity labeling proteomics), and (vi) genetic dependency/interaction data (DepMap, yeast GI). Harmonization will include mapping orthologs, standardizing protein identifiers, and annotating complex membership confidence.

Core questions: (1) What global rules govern complex stoichiometry—are there conserved “dosage buffering” strategies across complex types (ribosomes, proteasomes, membrane complexes)? (2) Can we infer assembly order from co-translational interaction signals, interface topology, and translation timing, and how does this differ across organisms? (3) Which complexes are most sensitive to subunit imbalance, and can we predict disease-relevant vulnerabilities (e.g., haploinsufficiency, aneuploidy effects)?

Analytical approach: We will develop probabilistic models that combine structural interface graphs with quantitative abundance and translation-rate data to infer latent assembly pathways and stoichiometric constraints. Network flow and Bayesian structure learning will be used to rank plausible assembly orders consistent with co-translational evidence. We will also build predictive models linking inferred imbalance sensitivity to genetic dependency patterns and proteostasis stress signatures.

NCEMS support is required because the project spans structural biology, proteomics, translation biology, and statistical modeling, and demands coordinated curation and scalable computation. No single lab typically has access to the breadth of expertise needed to reconcile structural interface information with proteome-wide quantitative constraints.

Deliverables: (i) an open “Complex Assembly Atlas” with inferred stoichiometries, assembly pathway hypotheses, and confidence scores; (ii) reproducible pipelines for integrating structure, proteomics, and ribosome profiling; (iii) benchmarks for assembly inference methods; and (iv) case studies on medically relevant complexes (mitochondrial OXPHOS, spliceosome, chromatin remodelers). Training will include workshops on proteomics harmonization, structural data parsing, and Bayesian modeling, with trainees leading curation of specific complex families. All outputs will be released openly with versioned datasets and transparent provenance, enabling the community to test and refine emergent principles of complex assembly.",2026-03-17T16:45:07.677180
gpt-5.2,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains","Metabolism is often depicted as a well-mixed network, yet growing evidence suggests enzymes form mesoscale assemblies and microdomains that enable metabolic channeling—emergent behavior where spatial organization alters flux, noise, and regulation. Public datasets now include spatial proteomics, organelle proteomes, metabolomics, and interaction maps, but they are rarely integrated to test when and where channeling occurs and what design principles govern it.

This working group will synthesize (i) spatial proteomics and subcellular fractionation datasets (Human Protein Atlas spatial proteomics, PRIDE fractionation studies), (ii) proximity labeling proteomics for metabolic enzymes (PRIDE), (iii) metabolomics across compartments and perturbations (Metabolomics Workbench, HMDB-linked studies), (iv) protein complex and interaction data (CORUM, BioGRID), (v) imaging-based localization for metabolic enzymes (IDR, HPA immunofluorescence), and (vi) genome-scale metabolic models and flux datasets (BiGG, published 13C MFA datasets with shared raw data). We will curate evidence for enzyme co-localization, complex formation, and condition dependence.

Scientific questions: (1) Which pathways exhibit strongest signatures of channeling (e.g., glycolysis, purine synthesis, TCA-associated metabolons), and are these conserved across taxa? (2) How do stress, cell cycle, or differentiation alter metabolic microdomain organization? (3) Can spatial organization explain discrepancies between enzyme abundance and observed metabolite levels or fluxes?

Methodological innovations will include constructing “spatially annotated metabolic networks” where edges are weighted by co-localization and complex evidence, enabling simulations that compare well-mixed versus microdomain-constrained flux. We will develop statistical tests for channeling signatures using metabolite covariance patterns and perturbation responses, and integrate imaging/proteomics priors to constrain model space. Machine learning will be used to predict microdomain formation propensity from enzyme features (oligomerization, disorder, membrane association) and interaction network context.

NCEMS support is essential to convene metabolomics experts, systems biologists, proteomics specialists, and biophysicists to align on standards for spatial evidence and to build interoperable pipelines across omics modalities. The project’s scope—harmonizing metabolomics metadata, mapping metabolites across platforms, and integrating with localization and interaction data—requires dedicated synthesis infrastructure.

Deliverables will include an open atlas of candidate metabolic microdomains with evidence scores; reproducible workflows for mapping metabolites and spatial proteomics into compartment-resolved models; and a set of community benchmarks for detecting channeling from public data. Training will be provided through hands-on modules on metabolomics normalization, network modeling, and FAIR data practices, with trainees leading pathway-focused curation efforts. The synthesis will advance understanding of emergent metabolic behavior arising from mesoscale spatial organization.",2026-03-17T16:45:07.677182
gpt-5.2,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,"Gene regulatory networks (GRNs) display emergent robustness: stable cell identities persist despite molecular noise and many perturbations, yet can switch catastrophically under others. Single-cell perturbation technologies have generated large public datasets (CRISPRi/a Perturb-seq, CROP-seq, multimodal readouts), but the field lacks a cross-study synthesis to identify universal robustness motifs and context-specific vulnerabilities.

This working group will integrate publicly available single-cell perturbation datasets from GEO, ArrayExpress, and dedicated portals (e.g., scPerturb resources), including CRISPR-based knockdowns/activations with scRNA-seq, scATAC-seq, and protein readouts (CITE-seq). We will harmonize gene identifiers, perturbation efficacies, cell state annotations, and batch effects using standardized pipelines. We will also integrate transcription factor binding/epigenomic priors (ENCODE) and protein interaction networks (BioGRID) to constrain GRN inference.

Key questions: (1) What network motifs (feedback loops, redundant regulators, feedforward motifs) repeatedly underlie robustness across diverse cell types? (2) Which perturbations cause state transitions versus buffered responses, and can we predict this from network topology and chromatin context? (3) How do emergent properties like multistability and criticality vary across differentiation trajectories and disease states?

Analytical plan: We will infer GRNs using a combination of causal inference methods tailored to perturbation data (e.g., conditional independence with intervention labels, dynamical latent variable models) and compare inferred networks across datasets via alignment techniques. We will quantify robustness using metrics such as response sparsity, attractor stability, and variance amplification. A methodological deliverable will be a benchmarking framework that evaluates GRN inference methods on real perturbation data with standardized gold-standard proxies (e.g., TF binding, curated pathways) and reproducible splits.

NCEMS support is required because meaningful synthesis demands coordination across many datasets with heterogeneous protocols and readouts, and requires expertise spanning single-cell genomics, statistics, dynamical systems, and computational infrastructure. The working group format enables community consensus on metadata standards (perturbation annotation, efficacy reporting) and fosters broad participation.

Deliverables will include: (i) a harmonized cross-study perturbation atlas with unified cell state labels; (ii) an open library of robustness metrics and visualization tools; (iii) a catalog of conserved robustness motifs and predicted “tipping-point” regulators; and (iv) tutorials and reproducible notebooks for trainees. Training will focus on best practices for single-cell data integration, causal modeling, and open science workflows. By synthesizing intervention-rich datasets, the project will reveal emergent principles governing stability and change in cellular regulatory systems.",2026-03-17T16:45:07.677184
gpt-5.2,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses","Protein quality control (PQC) is an emergent cellular system spanning chaperones, proteasomes, autophagy, and stress granules. Failures in PQC lead to aggregation and disease, yet we lack a unified synthesis connecting proteostasis network states to aggregation propensity and cell fate across organisms and stressors. Public datasets now include proteome-wide aggregation measurements, chaperone interactomes, stress transcriptomics, and imaging of aggregates—ripe for integrative analysis.

This working group will synthesize (i) proteomics datasets quantifying insoluble/aggregated fractions under stress (PRIDE), (ii) interactomes for chaperones and ubiquitin ligases (BioGRID, HuRI), (iii) transcriptomic responses to heat shock, oxidative stress, and proteasome inhibition (GEO), (iv) imaging datasets of aggregate formation and clearance (IDR, Cell Image Library), (v) genetic screens for proteostasis factors (DepMap, yeast screens), and (vi) sequence/structure features (AlphaFold, disorder predictions, aggregation propensity predictors). We will curate stress conditions, time courses, and cell types to enable comparative analyses.

Scientific questions: (1) Can we define discrete, reproducible “proteostasis states” that predict whether cells route misfolded proteins to degradation, sequestration, or refolding? (2) Which network configurations confer resilience (rapid recovery) versus vulnerability (runaway aggregation)? (3) How do mesoscale assemblies (stress granules, aggresomes) interact with PQC pathways to create emergent thresholds and hysteresis?

Methodologically, we will develop integrative models combining network biology and time-series analysis. Latent state models will infer proteostasis regimes from multi-omics signatures. We will link these regimes to aggregate imaging phenotypes and insoluble proteome composition. Causal discovery approaches leveraging perturbation screens will identify key control nodes. A specific methodological product will be an open pipeline for harmonizing “insoluble proteome” assays and mapping proteins across studies with standardized confidence metrics.

NCEMS support is essential because the synthesis spans many data types and requires deep domain expertise to interpret assay-specific biases (e.g., detergent solubility differences). The collaboration will include neurodegeneration experts, proteomics analysts, imaging scientists, and computational modelers to ensure robust integration.

Deliverables: an open Proteostasis Emergence Atlas cataloging stress conditions, proteostasis states, aggregate compositions, and predicted control nodes; reproducible workflows for integrating insoluble proteomics with imaging and transcriptomics; and community benchmarks for predicting aggregation outcomes from sequence and network context. Training will include trainee-led curation of stress datasets, workshops on reproducible proteomics and imaging analysis, and open-source contributions. The project will illuminate emergent PQC behavior and identify general principles of cellular resilience.",2026-03-17T16:45:07.677186
gpt-5.2,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia","Cell polarity is an emergent property in which local molecular interactions generate stable, large-scale spatial organization (apical–basal domains, tight junctions) that enables tissue function. While many polarity regulators are known, we lack a cross-tissue synthesis connecting molecular composition and signaling to emergent polarity architectures, especially across development, disease, and species. Public spatial omics and imaging datasets now make this synthesis feasible.

This working group will integrate (i) spatial transcriptomics datasets (10x Visium and other platforms with public releases in GEO and portals), (ii) single-cell RNA-seq atlases with epithelial annotations (Human Cell Atlas, Tabula Sapiens), (iii) proteomics of junctional complexes and membrane domains (PRIDE), (iv) imaging datasets of epithelial polarity markers (Human Protein Atlas, IDR), and (v) perturbation datasets affecting polarity (CRISPR screens, organoid perturbation transcriptomics). We will focus on harmonizing epithelial cell type ontologies and spatial coordinate frameworks to compare polarity programs across tissues.

Scientific aims: (1) Identify conserved “polarity modules” (gene/protein sets) and quantify their spatial segregation across epithelia. (2) Determine how emergent polarity breaks down in cancer, inflammation, and infection by comparing spatial organization signatures. (3) Link molecular modules to mesoscale structures such as tight junction continuity, lumen formation, and planar cell polarity patterns.

Analytical approach: We will develop computational methods to infer polarity axes and domain boundaries from spatial transcriptomics and multiplex imaging, using spatial statistics and graph-based segmentation. Multi-omic factor models will integrate RNA, protein, and imaging features to define polarity states. We will also incorporate known interaction networks to interpret modules mechanistically. A methodological contribution will be an open “polarity scoring” toolkit that quantifies polarity strength and organization from diverse spatial datasets.

NCEMS support is required to convene developmental biologists, epithelial physiologists, spatial omics experts, and computational scientists to align on ontologies, quality control, and cross-platform integration. The project goes beyond a single lab due to the breadth of tissues, platforms, and the need for rigorous standardization.

Deliverables will include a cross-tissue Polarity Synthesis Atlas with harmonized spatial datasets, polarity scores, and module annotations; reproducible pipelines for spatial data integration; and a catalog of disease-associated polarity disruption signatures. Training will be embedded through workshops on spatial data analysis, open annotation of epithelial structures, and reproducibility practices. This synthesis will advance understanding of how mesoscale polarity emerges from molecular networks and how its disruption drives pathology.",2026-03-17T16:45:07.677187
gpt-5.2,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types","Mitochondria form dynamic networks whose emergent morphology—fragmented, tubular, or hyperfused—reflects the balance of fission, fusion, transport, and mitophagy. Although many public datasets measure mitochondrial morphology, gene dependencies, proteomics, and respiration, they remain siloed. This working group will synthesize these resources to uncover general principles linking molecular regulation to emergent mitochondrial network states and cellular outcomes.

We will integrate (i) high-content imaging datasets with mitochondrial stains/reporters (Cell Painting, IDR), (ii) curated mitochondrial protein resources (MitoCarta), (iii) proteomics and phosphoproteomics under metabolic and stress perturbations (CPTAC, PRIDE), (iv) CRISPR dependency data for mitochondrial genes (DepMap), (v) transcriptomic responses to metabolic shifts (GEO), and (vi) publicly available bioenergetic measurements where raw data are shared (Seahorse-style outputs in supplementary repositories). Image analysis pipelines will extract network features (branch length distributions, connectivity, fragmentation indices) and, where time-lapse exists, morphodynamic rates.

Scientific questions: (1) Are there conserved, low-dimensional mitochondrial “network states” that recur across cell types and perturbations? (2) Which molecular programs (post-translational modifications of DRP1/OPA1, proteostasis pathways, lipid metabolism) drive transitions between states? (3) How do emergent network states predict higher-order phenotypes such as apoptosis sensitivity, ROS handling, and differentiation potential?

Analytically, we will build multimodal models that link omics signatures to image-derived network states, using domain adaptation to handle different imaging conditions. We will combine mechanistic modeling (balance equations for fission/fusion/turnover) with data-driven inference to estimate effective rates from snapshots and limited time series. We will also identify genetic interaction patterns that reveal compensatory pathways stabilizing network morphology.

NCEMS support is essential due to the scale of imaging harmonization and the need to integrate across modalities and institutions. The working group will bring together mitochondrial biologists, quantitative microscopists, ML experts, and systems biologists to establish community standards for mitochondrial network quantification.

Deliverables include an open MitoNetwork Emergence Atlas with standardized morphology features, inferred network states, and linked molecular predictors; reproducible image analysis and integration workflows; and a set of prioritized hypotheses about regulators that control state transitions across contexts. Training will include trainee-led development of annotation sets for benchmarking segmentation, tutorials on reproducible image analytics, and open science practices. The synthesis will clarify how mesoscale mitochondrial organization emerges and impacts cellular physiology.",2026-03-17T16:45:07.677189
