proposal_uid,mesh_unique_terms_k20,source_group,source_type,title
y1::1,96,Human,human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES
y1::10,120,Human,human,Transposable elements and the emergence of genomic innovation
y1::11,102,Human,human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions
y1::12,101,Human,human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data
y1::2,130,Human,human,Elucidating genome structure-function relationships in human brain cells
y1::3,68,Human,human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis
y1::4,83,Human,human,Synthesizing gene expression data to create an atlas of bacterial cell states
y1::5,62,Human,human,Energetic Origins of Connectivity within Protein Interaction Networks
y1::6,101,Human,human,Elucidating emergent structures in cellular RNA-protein interaction networks
y1::7,118,Human,human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation
y1::8,133,Human,human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data
y1::9,72,Human,human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning
y2::1,69,Human,human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation
y2::10,50,Human,human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions
y2::11,68,Human,human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data
y2::2,88,Human,human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies
y2::3,66,Human,human,Deciphering systemic biological networks through AI-driven multi-omic integration
y2::4,54,Human,human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions
y2::5,104,Human,human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation
y2::6,63,Human,human,Revealing the Ontology of Allostery through Community-Scale Synthesis
y2::7,97,Human,human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis
y2::8,66,Human,human,A Unified Framework for Analyses of Proteome Turnover Dynamics
y2::9,78,Human,human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics
persona::claude-sonnet-5::01,96,Claude,ai,A Cross-Crop Data Synthesis of Circadian-Gated Vesicle Trafficking Nodes That Constrain Cytokinesis Under Heat Stress
persona::claude-sonnet-5::02,128,Claude,ai,"From Nucleosome Mechanics to Cell-Type Identity: A Multiscale Synthesis of Chromatin Polymer Physics, Condensate Biochemistry, and Single-Cell 3D Genomes to Explain Disease-Relevant Genome Folding in the Human Brain"
persona::claude-sonnet-5::03,66,Claude,ai,Functional Redundancy as a Mesoscale Buffer: Synthesizing Ancient and Modern Metagenomes with Host Proteo-Genomic Atlases to Test the Stability of Microbiome-Host Molecular Modules
persona::claude-sonnet-5::04,107,Claude,ai,Mapping the Coupling Between Regulatory Cell-State Transitions and Mesoscale Condensate Architecture Across the Bacterial Kingdom
persona::claude-sonnet-5::05,103,Claude,ai,Nonlinear Collapse of Protein Interaction Networks at Stability Thresholds: A Cross-Kingdom Synthesis of Deep Mutational Scanning and Interactome Data
persona::claude-sonnet-5::06,89,Claude,ai,Sequence-to-Structure-to-Condensate: A Multi-Scale Synthesis Framework Linking RNA Secondary Structure Ensembles to Protein-RNA Condensate Composition and Emergent Material Properties
persona::claude-sonnet-5::07,99,Claude,ai,Decoding Environmental Selection Pressures on Condensate-Forming Sequence Grammars: A Multiscale Data Synthesis Across the Prokaryotic-to-Eukaryotic Thermal and Salinity Continuum
persona::claude-sonnet-5::08,78,Claude,ai,"From Copy-Number Amplicons to Proteostatic Stress: A Multiscale Synthesis of 3D Genome Reorganization, Protein Complex Stoichiometry, and Cellular Fitness in Cancer Cell Lines"
persona::claude-sonnet-5::09,70,Claude,ai,Cross-Scale Morphodynamic Grammar of Membrane-Bound Organelle Shape Change: Integrating Whole-Cell Volumetric Imaging with Cytoskeletal Agent-Based Simulations to Learn Generalizable Rules of Mesoscale Shape Transitions
persona::claude-sonnet-5::10,81,Claude,ai,Transposon-Seeded Cooperativity: Synthesizing Cross-Species Epigenomic Atlases to Test Whether Transposable Elements Drive the Emergence of Mesoscale Chromatin Hubs
persona::claude-sonnet-5::11,72,Claude,ai,Beyond Binary Interactions: Synthesizing Public Crosslinking Mass Spectrometry Data to Map Emergent Mesoscale Protein Assemblies Across Human Tissues
persona::claude-sonnet-5::12,105,Claude,ai,Closing the Genotype–Metabolite Gap: A Cross-Repository Synthesis Linking Microbial Genomic Potential to Untargeted Mass Spectrometry Signatures of Chemical Novelty
persona::claude-sonnet-5::13,103,Claude,ai,"A Cross-Family Atlas of Emergent Allosteric Order Parameters: Synthesizing Structural Ensembles, Deep Mutational Scans, and Ancestral Sequence Data to Discover Universal Rules of Protein Regulation"
persona::claude-sonnet-5::14,116,Claude,ai,"Entanglement as an Emergent Design Constraint: Cross-Scale Synthesis of Protein Topology, Translation Kinetics, and Proteostasis Networks"
persona::claude-sonnet-5::15,132,Claude,ai,"Nucleolar Condensate Scaling Laws as a Mesoscale Determinant of Ribosome Biogenesis Capacity and Skeletal Muscle Hypertrophy: A Multi-Omic, GPU-Accelerated Synthesis"
persona::claude-sonnet-5::16,69,Claude,ai,"A Cross-Species Physical Grammar Atlas: Testing Whether Conserved Polymer Physics, Not Conserved Sequence, Governs Emergent Condensate Material Properties"
persona::claude-sonnet-5::17,93,Claude,ai,Emergent Mesoscale Regulation of Torpor: A Cross-Species Synthesis of Biomolecular Condensates and Mitochondrial Reorganization in Independently Evolved Hibernators
persona::claude-sonnet-5::18,66,Claude,ai,"From Residue Couplings to Circuit Memory: A Cross-Scale Synthesis Linking Coevolutionary Statistics, Allosteric Dynamics, and Phase-Separation Propensity to Regulatory Network Hysteresis"
persona::claude-sonnet-5::19,85,Claude,ai,"Flux, Function, and Fitness: A Cross-Species Synthesis Linking Genome-Scale Metabolic Network Architecture to Signatures of Natural Selection"
persona::claude-sonnet-5::20,119,Claude,ai,"Mesoscale Coordination of Proteome Turnover: Synthesizing Public Degradation Kinetics with Complex, Condensate, and Disorder Architecture to Discover Emergent Proteostasis Modules"
