proposal_uid,source_type,source_group,lda_topic,lda_topic_prob_0,lda_topic_prob_1,lda_topic_prob_2,lda_topic_prob_3,lda_topic_prob_4,cross_source_group
y1::1,human,Human,3,0.0027050169706008087,0.0027615436052755966,0.002724386130458265,0.631376464354248,0.3604325889394173,Human
y1::10,human,Human,0,0.991692538791788,0.0020771995555358587,0.0020781087545408165,0.0020691612522401306,0.0020829916458952385,Human
y1::11,human,Human,1,0.0020883026901253555,0.9915769418111736,0.0021066231426443856,0.0021025004545646756,0.00212563190149214,Human
y1::12,human,Human,4,0.002253173884612164,0.31250613681949896,0.26943022960184826,0.0022883749398850683,0.4135220847541556,Human
y1::2,human,Human,0,0.9921982662768324,0.0019434751752609965,0.0019468224706402346,0.0019500879391172875,0.001961348138149019,Human
y1::3,human,Human,4,0.0020532355415136586,0.0020595708630811315,0.0020635941276737606,0.0020746783174059075,0.9917489211503255,Human
y1::4,human,Human,3,0.0026525185776283653,0.002664057484598672,0.002645013286672856,0.9893547737140787,0.002683636937021542,Human
y1::5,human,Human,4,0.001920081100706295,0.0019179373709085526,0.425377909637595,0.0019093743246402413,0.5688746975661498,Human
y1::6,human,Human,2,0.001791449664841999,0.0018107720236873143,0.9927780214886538,0.0018033033438527913,0.0018164534789640615,Human
y1::7,human,Human,4,0.002187198476736741,0.0021929176256461464,0.002193596037898807,0.2983358606877477,0.6950904271719707,Human
y1::8,human,Human,3,0.002024215760121757,0.0020075919735964235,0.0020098230158838116,0.8625294422244476,0.13142892702595038,Human
y1::9,human,Human,1,0.001995594856984105,0.9919629774429798,0.002010956132944255,0.0020170175302212556,0.0020134540368704473,Human
y2::1,human,Human,4,0.002003472521742303,0.0020375559487280054,0.002020106377226965,0.002024765033688419,0.9919141001186144,Human
y2::10,human,Human,4,0.0018912602141872422,0.0019017150472565615,0.0019062117002536954,0.0019363923869782558,0.9923644206513242,Human
y2::11,human,Human,3,0.0025508621185268065,0.002563934140989942,0.002572066810493117,0.6058863475297261,0.3864267894002641,Human
y2::2,human,Human,4,0.002014021267522883,0.0019974913185850044,0.0019996571274159707,0.001999891324621141,0.991988938961855,Human
y2::3,human,Human,3,0.001962757605826051,0.0019864422847227312,0.001980042253773689,0.992071405744812,0.0019993521108655297,Human
y2::4,human,Human,4,0.0024024159000111357,0.0023686178786801342,0.0023887505627113127,0.0023878682581960327,0.9904523474004014,Human
y2::5,human,Human,4,0.002316154218070274,0.002310399862731523,0.0023132073976408333,0.0023165242819398984,0.9907437142396175,Human
y2::6,human,Human,4,0.2873028571845609,0.002441458038915449,0.0024394518721099537,0.002437597045473372,0.7053786358589403,Human
