condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,proposals,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human,3066.0,2.8908324601461632e-25,1.0406996856526188e-23,True,JT over leave-one-out jackknife replicates
baseline,proposals,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human,2736.0,5.435912713760027e-16,6.5230952565120325e-15,False,JT over leave-one-out jackknife replicates
baseline,proposals,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human,1798.0,0.07049008701611306,0.1268821566290035,False,JT over leave-one-out jackknife replicates
baseline,proposals,rephrased,whole,coverage,coverage_geometric,k=3,claude<gemini<gpt<human,3.5,0.36704759115973784,0.5745092731195897,False,single coverage values per group; human = split-half median
baseline,proposals,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2615.0,3.6854052400607894e-13,1.895351266316977e-12,False,JT over leave-one-out jackknife replicates
baseline,proposals,rephrased,whole,displacement,mmd2,,claude>gemini>gpt (M5 flip: larger = more displaced),203.0,3.9178647738633695e-11,1.7630391482385165e-10,True,JT over LOO replicates of Human<->model MMD2; predicted DECREASING (spec 8.2 direction flip)
one_at_a_time,proposals,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00028737334234230457,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00028737334234230457,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human,2633.0,1.4608110031337142e-13,8.764866018802286e-13,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,rephrased,whole,coverage,coverage_geometric,k=3,claude<gemini<gpt<human,3.5,0.36704759115973784,0.5745092731195897,False,single coverage values per group; human = split-half median
one_at_a_time,proposals,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00028737334234230457,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,rephrased,whole,displacement,mmd2,,claude>gemini>gpt (M5 flip: larger = more displaced),1058.0,0.9982111715303905,1.0,False,JT over LOO replicates of Human<->model MMD2; predicted DECREASING (spec 8.2 direction flip)
persona,proposals,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human,2645.0,7.814944076824459e-14,5.62675973531361e-13,False,JT over leave-one-out jackknife replicates
persona,proposals,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human,2645.0,7.814944076824459e-14,5.62675973531361e-13,False,JT over leave-one-out jackknife replicates
persona,proposals,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human,579.0,0.9999999999989881,1.0,False,JT over leave-one-out jackknife replicates
persona,proposals,rephrased,whole,coverage,coverage_geometric,k=3,claude<gemini<gpt<human,4.0,0.24845292378238398,0.42591929791265826,False,single coverage values per group; human = split-half median
persona,proposals,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2448.0,9.43701580918602e-10,3.774806323674408e-09,False,JT over leave-one-out jackknife replicates
persona,proposals,rephrased,whole,displacement,mmd2,,claude>gemini>gpt (M5 flip: larger = more displaced),529.0,0.0017888284696094675,0.003788107347408284,False,JT over LOO replicates of Human<->model MMD2; predicted DECREASING (spec 8.2 direction flip)
baseline,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=5,claude<gemini<gpt<human,1321.5,0.9680156693539149,1.0,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=5,claude<gemini<gpt<human,453.0,0.9999999999999988,1.0,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=10,claude<gemini<gpt<human,1322.5,0.9675118540858231,1.0,False,JT over LOO jackknife replicates of the union count at matched n
