proposal_uid,source_type,source_group,lda_topic
y1::1,human,Human,0
y1::10,human,Human,1
y1::11,human,Human,3
y1::12,human,Human,3
y1::2,human,Human,4
y1::3,human,Human,2
y1::4,human,Human,1
y1::5,human,Human,3
y1::6,human,Human,3
y1::7,human,Human,1
y1::8,human,Human,3
y1::9,human,Human,0
y2::1,human,Human,3
y2::10,human,Human,3
y2::11,human,Human,0
y2::2,human,Human,3
y2::3,human,Human,1
y2::4,human,Human,3
y2::5,human,Human,2
y2::6,human,Human,3
y2::7,human,Human,2
y2::8,human,Human,1
y2::9,human,Human,3
persona::claude-sonnet-5::01,ai,Claude,3
persona::claude-sonnet-5::02,ai,Claude,3
persona::claude-sonnet-5::03,ai,Claude,2
persona::claude-sonnet-5::04,ai,Claude,3
persona::claude-sonnet-5::05,ai,Claude,3
persona::claude-sonnet-5::06,ai,Claude,3
persona::claude-sonnet-5::07,ai,Claude,1
persona::claude-sonnet-5::08,ai,Claude,3
persona::claude-sonnet-5::09,ai,Claude,2
persona::claude-sonnet-5::10,ai,Claude,4
persona::claude-sonnet-5::11,ai,Claude,3
persona::claude-sonnet-5::12,ai,Claude,3
persona::claude-sonnet-5::13,ai,Claude,3
persona::claude-sonnet-5::14,ai,Claude,3
persona::claude-sonnet-5::15,ai,Claude,3
persona::claude-sonnet-5::16,ai,Claude,3
persona::claude-sonnet-5::17,ai,Claude,2
persona::claude-sonnet-5::18,ai,Claude,3
persona::claude-sonnet-5::19,ai,Claude,2
persona::claude-sonnet-5::20,ai,Claude,0
persona::claude-sonnet-5::21,ai,Claude,0
persona::claude-sonnet-5::22,ai,Claude,3
persona::claude-sonnet-5::23,ai,Claude,0
persona::gpt-5.5::01,ai,GPT,3
persona::gpt-5.5::02,ai,GPT,3
persona::gpt-5.5::03,ai,GPT,0
persona::gpt-5.5::04,ai,GPT,3
persona::gpt-5.5::05,ai,GPT,3
persona::gpt-5.5::06,ai,GPT,3
persona::gpt-5.5::07,ai,GPT,3
persona::gpt-5.5::08,ai,GPT,3
persona::gpt-5.5::09,ai,GPT,2
persona::gpt-5.5::10,ai,GPT,4
persona::gpt-5.5::11,ai,GPT,3
persona::gpt-5.5::12,ai,GPT,0
persona::gpt-5.5::13,ai,GPT,3
persona::gpt-5.5::14,ai,GPT,3
persona::gpt-5.5::15,ai,GPT,3
persona::gpt-5.5::16,ai,GPT,3
persona::gpt-5.5::17,ai,GPT,2
persona::gpt-5.5::18,ai,GPT,3
persona::gpt-5.5::19,ai,GPT,2
persona::gpt-5.5::20,ai,GPT,0
persona::gpt-5.5::21,ai,GPT,0
persona::gpt-5.5::22,ai,GPT,3
persona::gpt-5.5::23,ai,GPT,1
persona::gemini-3.1-pro-preview::01,ai,Gemini,3
persona::gemini-3.1-pro-preview::02,ai,Gemini,3
persona::gemini-3.1-pro-preview::03,ai,Gemini,1
persona::gemini-3.1-pro-preview::04,ai,Gemini,1
persona::gemini-3.1-pro-preview::05,ai,Gemini,3
persona::gemini-3.1-pro-preview::06,ai,Gemini,3
persona::gemini-3.1-pro-preview::07,ai,Gemini,3
persona::gemini-3.1-pro-preview::08,ai,Gemini,3
persona::gemini-3.1-pro-preview::09,ai,Gemini,2
persona::gemini-3.1-pro-preview::10,ai,Gemini,3
persona::gemini-3.1-pro-preview::11,ai,Gemini,3
persona::gemini-3.1-pro-preview::12,ai,Gemini,3
persona::gemini-3.1-pro-preview::13,ai,Gemini,3
persona::gemini-3.1-pro-preview::14,ai,Gemini,3
persona::gemini-3.1-pro-preview::15,ai,Gemini,3
persona::gemini-3.1-pro-preview::16,ai,Gemini,3
persona::gemini-3.1-pro-preview::17,ai,Gemini,2
persona::gemini-3.1-pro-preview::18,ai,Gemini,3
persona::gemini-3.1-pro-preview::19,ai,Gemini,2
persona::gemini-3.1-pro-preview::20,ai,Gemini,3
persona::gemini-3.1-pro-preview::21,ai,Gemini,3
persona::gemini-3.1-pro-preview::22,ai,Gemini,3
persona::gemini-3.1-pro-preview::23,ai,Gemini,1
