condition,task,text_version,field,comparison,facet,metric,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_boot,notes
persona,proposals,rephrased,whole,human_vs_claude,simpson_similarity,gini_simpson,,0.5288255973536431,0.3785640494002217,0.7158580282320628,ratio,0.3368902515044533,0.38961373010343564,0.5099448593757114,0.5387426629765483,permutation,0.1502615479534214,0.12068793120687932,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,rephrased,whole,human_vs_gemini,simpson_similarity,gini_simpson,,0.5288255973536431,0.2787068808809301,0.5270298606490291,ratio,0.22461887498643326,0.2871162903390028,0.5099448593757114,0.5387426629765483,permutation,0.250118716472713,0.0187981201879812,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,rephrased,whole,human_vs_gpt,simpson_similarity,gini_simpson,,0.5288255973536431,0.45686505178673487,0.8639238608588271,ratio,0.42813457627810386,0.4683990640611274,0.5099448593757114,0.5387426629765483,permutation,0.07196054556690823,0.37236276372362764,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,rephrased,whole,human_vs_pooled_ai,simpson_similarity,gini_simpson,,0.5288255973536431,0.37011554159608,0.6998820470268794,ratio,0.2171152802734234,0.4958660687481906,0.5099448593757114,0.5387426629765483,same_size_subsample,0.15871005575756308,0.016983016983016984,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
persona,proposals,rephrased,whole,human_vs_claude,simpson_similarity,inverse_simpson,,2.122356380956791,1.6091762940892798,0.7582026791201949,ratio,1.5080460296329605,1.6383068569783918,2.040587145615149,2.1679874772394117,permutation,0.5131800868675112,0.12718728127187282,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,rephrased,whole,human_vs_gemini,simpson_similarity,inverse_simpson,,2.122356380956791,1.386398918128209,0.6532356820786145,ratio,1.2896891098975398,1.4027533468270448,2.040587145615149,2.1679874772394117,permutation,0.7359574628285819,0.020597940205979402,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,rephrased,whole,human_vs_gpt,simpson_similarity,inverse_simpson,,2.122356380956791,1.8411630540249164,0.8675089021547323,ratio,1.7486642184391619,1.8811103085536307,2.040587145615149,2.1679874772394117,permutation,0.2811933269318745,0.37536246375362464,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,rephrased,whole,human_vs_pooled_ai,simpson_similarity,inverse_simpson,,2.122356380956791,1.6109407675191683,0.759034053834508,ratio,1.2773272677366372,1.9835998768060086,2.040587145615149,2.1679874772394117,same_size_subsample,0.5114156134376227,0.004995004995004995,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
persona,proposals,rephrased,whole,human_vs_claude,simpson_categorical,gini_simpson,literature_region,0.7977315689981097,0.7334593572778828,0.919431279620853,ratio,,,,,permutation,0.0642722117202269,0.3126687331266873,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,rephrased,whole,human_vs_gemini,simpson_categorical,gini_simpson,literature_region,0.7977315689981097,0.7410207939508506,0.928909952606635,ratio,,,,,permutation,0.05671077504725908,0.2646735326467353,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,rephrased,whole,human_vs_gpt,simpson_categorical,gini_simpson,literature_region,0.7977315689981097,0.6843100189035916,0.8578199052132699,ratio,,,,,permutation,0.11342155009451815,0.08199180081991801,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,rephrased,whole,human_vs_pooled_ai,simpson_categorical,gini_simpson,literature_region,0.7977315689981097,0.7131758034026464,0.8940047393364927,ratio,0.5896975425330812,0.7939508506616257,,,same_size_subsample,0.0845557655954633,0.1008991008991009,,23.0,23.0,1000,classical Simpson on nearest literature region; AI n=23 subsampled from 69
persona,proposals,rephrased,whole,human_vs_claude,simpson_categorical,inverse_simpson,literature_region,4.94392523364486,3.75177304964539,0.7588652482269503,ratio,,,,,permutation,1.19215218399947,0.2850714928507149,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,rephrased,whole,human_vs_gemini,simpson_categorical,inverse_simpson,literature_region,4.94392523364486,3.8613138686131383,0.7810218978102189,ratio,,,,,permutation,1.0826113650317217,0.2415758424157584,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,rephrased,whole,human_vs_gpt,simpson_categorical,inverse_simpson,literature_region,4.94392523364486,3.1676646706586817,0.6407185628742513,ratio,,,,,permutation,1.7762605629861783,0.048595140485951406,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,rephrased,whole,human_vs_pooled_ai,simpson_categorical,inverse_simpson,literature_region,4.94392523364486,3.5977827313119053,0.7277178681481548,ratio,2.437231445826231,4.853211009174312,,,same_size_subsample,1.3461425023329547,0.030969030969030968,,23.0,23.0,1000,classical Simpson on nearest literature region; AI n=23 subsampled from 69
