condition,text_version,comparison,comparison_label,target_proposal_uid,target_cohort,target_proposal_id,target_proposal_title,target_human_n_reviews,ai_panel_id,ai_panel_size,ai_panel_review_uids,metric,human_metric_value,ai_metric_value,field_branch
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",mean_pairwise,0.09072282910346985,0.057100385427474976,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",nn,0.07447071373462677,0.05147871375083923,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",centroid_loo,0.06184445142539979,0.03861884233931223,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",global_centroid_dist,0.034620367857822465,0.021646873732553307,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",medoid_dist,0.059087082743644714,0.039799273014068604,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",span90,0.04408076997095694,0.024350635580227133,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",mst_dispersion,0.0786583423614502,0.05225964387257894,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",sparseness,0.034620367857822465,0.021646873732553307,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::004""]",remote_clique,0.09072282910346985,0.057100385427474976,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.09072282910346985,0.060791959365208946,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",nn,0.07447071373462677,0.052037134766578674,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",centroid_loo,0.06184445142539979,0.04114839928720804,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",global_centroid_dist,0.034620367857822465,0.023062875774753244,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",medoid_dist,0.059087082743644714,0.039753153920173645,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",span90,0.04408076997095694,0.026449767520497314,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",mst_dispersion,0.0786583423614502,0.05300420522689819,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",sparseness,0.034620367857822465,0.023062875774753244,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::003"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",remote_clique,0.09072282910346985,0.060791959365208946,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.09072282910346985,0.05734590689341227,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",nn,0.07447071373462677,0.05306065082550049,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",centroid_loo,0.06184445142539979,0.0387880511258539,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",global_centroid_dist,0.034620367857822465,0.02174102331585842,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",medoid_dist,0.059087082743644714,0.04059024155139923,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",span90,0.04408076997095694,0.02429630945894403,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",mst_dispersion,0.0786583423614502,0.053314268589019775,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",sparseness,0.034620367857822465,0.02174102331585842,weakness
one_at_a_time,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""one_at_a_time::y1::1::claude-sonnet-5::001"", ""one_at_a_time::y1::1::claude-sonnet-5::002"", ""one_at_a_time::y1::1::claude-sonnet-5::004"", ""one_at_a_time::y1::1::claude-sonnet-5::005""]",remote_clique,0.09072282910346985,0.05734590689341227,weakness
