condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
one_at_a_time,reviews,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,804.0,0.5460335180137245,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,800.0,0.5285360960878449,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,829.5,0.6541323313618591,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,757.5,0.6445788499918359,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,798.0,0.5197645435137258,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,937.0,0.9430035403236908,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,941.0,0.9478711283630089,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,767.5,0.38730045201736213,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,761.5,0.6619537973005876,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,strengths,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,650.0,0.05699645967630917,0.8549468951446375,True,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,886.0,0.8458481298907148,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,899.0,0.8773759178938698,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,799.5,0.5263443383517382,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,687.0,0.32311960725279676,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,rephrased,weakness,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,673.0,0.09222497646774308,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
