condition,task,text_version,field,comparison,stat,value
baseline,reviews,rephrased,whole,human_vs_claude,ai_to_nearest_human_median,0.03389046111144278
baseline,reviews,rephrased,whole,human_vs_claude,ai_to_nearest_human_q90,0.042644961964033584
baseline,reviews,rephrased,whole,human_vs_claude,human_to_nearest_human_median,0.036196154365256694
baseline,reviews,rephrased,whole,human_vs_claude,human_to_nearest_human_q90,0.04516311072511319
baseline,reviews,rephrased,whole,human_vs_claude,human_to_nearest_ai_median,0.032774061042720515
baseline,reviews,rephrased,whole,human_vs_claude,human_to_nearest_ai_q90,0.04351732008058369
baseline,reviews,rephrased,whole,human_vs_claude,share_human_fringe,0.07058823529411765
baseline,reviews,rephrased,whole,human_vs_claude,share_ai_pocket,0.08695652173913043
baseline,reviews,rephrased,whole,human_vs_claude,n_ai,115.0
baseline,reviews,rephrased,whole,human_vs_claude,n_human,85.0
baseline,reviews,rephrased,whole,human_vs_gemini,ai_to_nearest_human_median,0.03768259757421544
baseline,reviews,rephrased,whole,human_vs_gemini,ai_to_nearest_human_q90,0.05089201300363895
baseline,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_human_median,0.036196154365256694
baseline,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_human_q90,0.04516311072511319
baseline,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_ai_median,0.03633291232947822
baseline,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_ai_q90,0.04644335128497466
baseline,reviews,rephrased,whole,human_vs_gemini,share_human_fringe,0.12941176470588237
baseline,reviews,rephrased,whole,human_vs_gemini,share_ai_pocket,0.23478260869565218
baseline,reviews,rephrased,whole,human_vs_gemini,n_ai,115.0
baseline,reviews,rephrased,whole,human_vs_gemini,n_human,85.0
baseline,reviews,rephrased,whole,human_vs_gpt,ai_to_nearest_human_median,0.03342816894899325
baseline,reviews,rephrased,whole,human_vs_gpt,ai_to_nearest_human_q90,0.04047261260942525
baseline,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_human_median,0.036196154365256694
baseline,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_human_q90,0.04516311072511319
baseline,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_ai_median,0.03311453197857417
baseline,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_ai_q90,0.04297085408919466
baseline,reviews,rephrased,whole,human_vs_gpt,share_human_fringe,0.047058823529411764
baseline,reviews,rephrased,whole,human_vs_gpt,share_ai_pocket,0.02608695652173913
baseline,reviews,rephrased,whole,human_vs_gpt,n_ai,115.0
baseline,reviews,rephrased,whole,human_vs_gpt,n_human,85.0
baseline,reviews,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_median,0.03483267315567384
baseline,reviews,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_q90,0.04640809436927405
baseline,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_median,0.036196154365256694
baseline,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_q90,0.04516311072511319
baseline,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_median,0.03029182977766165
baseline,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_q90,0.03691673580237092
baseline,reviews,rephrased,whole,human_vs_pooled_ai,share_human_fringe,0.0
baseline,reviews,rephrased,whole,human_vs_pooled_ai,share_ai_pocket,0.11594202898550725
baseline,reviews,rephrased,whole,human_vs_pooled_ai,n_ai,345.0
baseline,reviews,rephrased,whole,human_vs_pooled_ai,n_human,85.0
