proposal_uid,source_type,source_group,title,global_nn_index,global_nn_proposal_uid,global_nn_source_type,global_nn_source_group,global_nn_distance,global_mean_5nn_distance,global_nn_same_source_type,global_nn_same_source_group,is_global_nn_outlier_top10,is_global_mean5nn_outlier_top10
y1::1,human,Human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,57,one_at_a_time::gpt-5.5::12,ai,GPT,0.056999921798706055,0.05881932973861694,False,False,False,False
y1::10,human,Human,Transposable elements and the emergence of genomic innovation,17,y2::4,human,Human,0.04762786626815796,0.05098428726196289,True,True,False,False
y1::11,human,Human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,47,one_at_a_time::gpt-5.5::02,ai,GPT,0.13269567489624023,0.13824928998947145,False,False,True,True
y1::12,human,Human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,46,one_at_a_time::gpt-5.5::01,ai,GPT,0.15233254432678223,0.17577224969863892,False,False,True,True
y1::2,human,Human,Elucidating genome structure-function relationships in human brain cells,57,one_at_a_time::gpt-5.5::12,ai,GPT,0.032698869705200195,0.0352083683013916,False,False,False,False
y1::3,human,Human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,70,one_at_a_time::gemini-3.1-pro-preview::02,ai,Gemini,0.04025769233703613,0.043497002124786376,False,False,False,False
y1::4,human,Human,Synthesizing gene expression data to create an atlas of bacterial cell states,40,one_at_a_time::claude-sonnet-5::18,ai,Claude,0.11022049188613892,0.12015471458435059,False,False,True,True
y1::5,human,Human,Energetic Origins of Connectivity within Protein Interaction Networks,29,one_at_a_time::claude-sonnet-5::07,ai,Claude,0.0873914361000061,0.10197616815567016,False,False,False,False
y1::6,human,Human,Elucidating emergent structures in cellular RNA-protein interaction networks,49,one_at_a_time::gpt-5.5::04,ai,GPT,0.028293490409851074,0.029184460639953613,False,False,False,False
y1::7,human,Human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,39,one_at_a_time::claude-sonnet-5::17,ai,Claude,0.04210096597671509,0.045118653774261476,False,False,False,False
y1::8,human,Human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,4,y1::2,human,Human,0.0355454683303833,0.0375230073928833,True,True,False,False
y1::9,human,Human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,64,one_at_a_time::gpt-5.5::19,ai,GPT,0.10473990440368652,0.10909470319747924,False,False,True,False
y2::1,human,Human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,19,y2::6,human,Human,0.02697896957397461,0.03358612060546875,True,True,False,False
y2::10,human,Human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,74,one_at_a_time::gemini-3.1-pro-preview::06,ai,Gemini,0.03281569480895996,0.03498220443725586,False,False,False,False
y2::11,human,Human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,64,one_at_a_time::gpt-5.5::19,ai,GPT,0.21422451734542847,0.22546314001083373,False,False,True,True
y2::2,human,Human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,17,y2::4,human,Human,0.03450584411621094,0.04364546537399292,True,True,False,False
y2::3,human,Human,Deciphering systemic biological networks through AI-driven multi-omic integration,41,one_at_a_time::claude-sonnet-5::19,ai,Claude,0.10065305233001709,0.10644862651824952,False,False,False,False
y2::4,human,Human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,39,one_at_a_time::claude-sonnet-5::17,ai,Claude,0.031054139137268066,0.03349759578704834,False,False,False,False
y2::5,human,Human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,16,y2::3,human,Human,0.13951969146728516,0.17446489334106446,True,True,True,True
y2::6,human,Human,Revealing the Ontology of Allostery through Community-Scale Synthesis,12,y2::1,human,Human,0.02697896957397461,0.03419839143753052,True,True,False,False
y2::7,human,Human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,71,one_at_a_time::gemini-3.1-pro-preview::03,ai,Gemini,0.03117382526397705,0.03493982553482056,False,False,False,False
y2::8,human,Human,A Unified Framework for Analyses of Proteome Turnover Dynamics,39,one_at_a_time::claude-sonnet-5::17,ai,Claude,0.030292093753814697,0.03293505907058716,False,False,False,False
y2::9,human,Human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,27,one_at_a_time::claude-sonnet-5::05,ai,Claude,0.14518678188323975,0.1589200019836426,False,False,True,True
one_at_a_time::claude-sonnet-5::01,ai,Claude,"Decoding the Sequence-to-Mesoscale Grammar of Biomolecular Condensates: A Multi-Omic Synthesis of Phase Behavior, Interactome Architecture, and Cellular Function",45,one_at_a_time::claude-sonnet-5::23,ai,Claude,0.016256332397460938,0.018132436275482177,True,True,False,False
one_at_a_time::claude-sonnet-5::02,ai,Claude,From Sequence Grammar to Cellular Phenotype: A Multi-Scale Data Synthesis of Biomolecular Condensate Emergence,56,one_at_a_time::gpt-5.5::11,ai,GPT,0.014931440353393555,0.017083239555358887,True,False,False,False
one_at_a_time::claude-sonnet-5::03,ai,Claude,Decoding the Sequence-to-Mesoscale Grammar of Biomolecular Condensates: A Multi-Omics Synthesis of Phase Separation Determinants and Cellular Consequences,40,one_at_a_time::claude-sonnet-5::18,ai,Claude,0.04227036237716675,0.09530962705612182,True,True,False,False
one_at_a_time::claude-sonnet-5::04,ai,Claude,"Decoding the Molecular Grammar of Mesoscale Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Structural Organization, and Cellular Phenotype",61,one_at_a_time::gpt-5.5::16,ai,GPT,0.016528546810150146,0.017799997329711915,True,False,False,False
one_at_a_time::claude-sonnet-5::05,ai,Claude,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Structural Disorder, and Mesoscale Material Properties to Cellular Function",29,one_at_a_time::claude-sonnet-5::07,ai,Claude,0.06302982568740845,0.07832034826278686,True,True,False,False
one_at_a_time::claude-sonnet-5::06,ai,Claude,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Modal Data Synthesis Across Sequence, Structure, Interactome, and Imaging Scales",36,one_at_a_time::claude-sonnet-5::14,ai,Claude,0.01712745428085327,0.018310320377349854,True,True,False,False
one_at_a_time::claude-sonnet-5::07,ai,Claude,From Sequence to Cellular Phenotype: A Multi-Database Synthesis of the Molecular Grammar Governing Emergent Material Properties of Biomolecular Condensates,47,one_at_a_time::gpt-5.5::02,ai,GPT,0.05201035737991333,0.07172989845275879,True,False,False,False
one_at_a_time::claude-sonnet-5::08,ai,Claude,From Sequence Grammar to Cellular Phenotype: A Multi-Scale Data Synthesis of Biomolecular Condensate Emergence and Its Disruption in Disease,39,one_at_a_time::claude-sonnet-5::17,ai,Claude,0.01594167947769165,0.017653989791870116,True,True,False,False
one_at_a_time::claude-sonnet-5::09,ai,Claude,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Scale Data Synthesis of Sequence, Structure, and Material Properties",45,one_at_a_time::claude-sonnet-5::23,ai,Claude,0.019629955291748047,0.021987569332122803,True,True,False,False
one_at_a_time::claude-sonnet-5::10,ai,Claude,Decoding the Condensatome: A Multiscale Data Synthesis Framework Linking Molecular Grammar to Emergent Biomolecular Condensate Function,23,one_at_a_time::claude-sonnet-5::01,ai,Claude,0.018051564693450928,0.0184289813041687,True,True,False,False
one_at_a_time::claude-sonnet-5::11,ai,Claude,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Scale Synthesis of Sequence, Network, Structural, and Imaging Data",36,one_at_a_time::claude-sonnet-5::14,ai,Claude,0.018891572952270508,0.019244790077209473,True,True,False,False
one_at_a_time::claude-sonnet-5::12,ai,Claude,"Decoding the Molecular Grammar of Emergent Condensate Material Properties: A Multi-Database Synthesis Linking Sequence, Structure, and Cellular Function",38,one_at_a_time::claude-sonnet-5::16,ai,Claude,0.15958213806152344,0.17445745468139648,True,True,True,True
one_at_a_time::claude-sonnet-5::13,ai,Claude,Decoding the Sequence-to-Phenotype Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis Initiative,30,one_at_a_time::claude-sonnet-5::08,ai,Claude,0.01657891273498535,0.019252169132232665,True,True,False,False
one_at_a_time::claude-sonnet-5::14,ai,Claude,"Decoding the Molecular Grammar of Emergent Biomolecular Condensates: A Multi-Scale Data Synthesis Framework Linking Sequence, Structure, and Cellular Phenotype",73,one_at_a_time::gemini-3.1-pro-preview::05,ai,Gemini,0.014280438423156738,0.016216325759887695,True,False,False,False
one_at_a_time::claude-sonnet-5::15,ai,Claude,"Decoding the Molecular Grammar of Biomolecular Condensates: A Cross-Species, Multi-Omics Synthesis of Mesoscale Emergence and Its Cellular Consequences",33,one_at_a_time::claude-sonnet-5::11,ai,Claude,0.019396185874938965,0.021293222904205322,True,True,False,False
one_at_a_time::claude-sonnet-5::16,ai,Claude,Decoding the Molecular Grammar of Mesoscale Emergence: A Cross-Database Synthesis Linking Biomolecular Condensate Sequence Features to Material States and Cellular Phenotypes,29,one_at_a_time::claude-sonnet-5::07,ai,Claude,0.10502713918685913,0.11653870344161987,True,True,True,False
one_at_a_time::claude-sonnet-5::17,ai,Claude,Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis from Sequence to Cellular Phenotype,30,one_at_a_time::claude-sonnet-5::08,ai,Claude,0.01594167947769165,0.017411208152770995,True,True,False,False
one_at_a_time::claude-sonnet-5::18,ai,Claude,"Decoding the Molecular Grammar of Mesoscale Emergence: A Multi-Omic Synthesis of Biomolecular Condensate Formation, Material Properties, and Cellular Phenotype",25,one_at_a_time::claude-sonnet-5::03,ai,Claude,0.04227036237716675,0.08130853176116944,True,True,False,False
one_at_a_time::claude-sonnet-5::19,ai,Claude,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Mesoscale Material Properties, and Cellular Phenotypes",46,one_at_a_time::gpt-5.5::01,ai,GPT,0.06759494543075562,0.08862403631210328,True,False,False,False
one_at_a_time::claude-sonnet-5::20,ai,Claude,From Sequence Grammar to Cellular Phenotype: A Multi-Omic Synthesis of Biomolecular Condensate Data to Decode Rules of Mesoscale Emergence,24,one_at_a_time::claude-sonnet-5::02,ai,Claude,0.01805400848388672,0.019938158988952636,True,True,False,False
one_at_a_time::claude-sonnet-5::21,ai,Claude,From Molecular Grammar to Mesoscale Material Properties: A Multi-Omic Synthesis of Biomolecular Condensate Emergence,28,one_at_a_time::claude-sonnet-5::06,ai,Claude,0.018172144889831543,0.019661152362823488,True,True,False,False
one_at_a_time::claude-sonnet-5::22,ai,Claude,Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis from Sequence to Cellular Phenotype,36,one_at_a_time::claude-sonnet-5::14,ai,Claude,0.023660659790039062,0.0250693678855896,True,True,False,False
