proposal_uid,title,group_model,group_binary,global_centroid_dist
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.054946363
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,0.03602028
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.053442895
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.04153204
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,0.032520473
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.023813307
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.041776538
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,0.03368473
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,0.029717982
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.6111748
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.6383153
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.60405624
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.03833306
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.041538298
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,0.03576076
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.6173439
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,0.052606463
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,0.041423798
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,0.035131454
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,0.027194142
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,0.6302795
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,0.040248096
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,0.6380123
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,GPT-5.2,AI,0.025930405
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",GPT-5.2,AI,0.5770997
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",GPT-5.2,AI,0.024546623
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",GPT-5.2,AI,0.60799956
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",GPT-5.2,AI,0.023583174
P_028,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",GPT-5.2,AI,0.025047302
P_029,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,GPT-5.2,AI,0.030127525
