condition,text_version,comparison,comparison_label,target_proposal_uid,target_cohort,target_proposal_id,target_proposal_title,target_human_n_reviews,ai_panel_id,ai_panel_size,ai_panel_review_uids,metric,human_metric_value,ai_metric_value,field_branch
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",mean_pairwise,0.09072282910346985,0.05170207222302755,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",nn,0.07447071373462677,0.04417344927787781,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",centroid_loo,0.06184445142539979,0.03492375366434833,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",global_centroid_dist,0.034620367857822465,0.019579970906857203,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",medoid_dist,0.059087082743644714,0.03792707622051239,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",span90,0.04408076997095694,0.020208994208954036,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",mst_dispersion,0.0786583423614502,0.047281006971995033,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",sparseness,0.034620367857822465,0.019579970906857203,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",remote_clique,0.09072282910346985,0.05170207222302755,weakness
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.09072282910346985,0.05762412150700887,weakness
