title,group_binary,ward_cluster,ward_cluster_name
CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,0,Cluster_A
Elucidating genome structure-function relationships in human brain cells,Human,1,Cluster_B
MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,0,Cluster_A
Synthesizing gene expression data to create an atlas of bacterial cell states,Human,0,Cluster_A
Energetic Origins of Connectivity within Protein Interaction Networks,Human,1,Cluster_B
Elucidating emergent structures in cellular RNA-protein interaction networks,Human,0,Cluster_A
Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,1,Cluster_B
Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,1,Cluster_B
From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,1,Cluster_B
Transposable elements and the emergence of genomic innovation,Human,0,Cluster_A
Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,0,Cluster_A
Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,0,Cluster_A
Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,0,Cluster_A
From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,1,Cluster_B
Deciphering systemic biological networks through AI-driven multi-omic integration,Human,1,Cluster_B
Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,1,Cluster_B
Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,0,Cluster_A
Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,1,Cluster_B
SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,1,Cluster_B
A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,0,Cluster_A
Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,1,Cluster_B
Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,1,Cluster_B
Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,0,Cluster_A
A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,AI,1,Cluster_B
