proposal_uid,title,group_model,group_binary,group_all_ai,dominant_region,dominant_region_label,max_region_weight,region_entropy,effective_region_count,n_regions_gt5pct,unassigned_neighbor_frac,region_0_weight,region_1_weight,region_2_weight,region_3_weight,region_4_weight,region_5_weight,region_6_weight,region_7_weight,region_8_weight,region_9_weight,region_10_weight,region_11_weight
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.85,0.42270907759666443,1.5260902575337958,2,0.0,0.85,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,Human,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.5,0.8556886911392212,2.352994309026954,2,0.0,0.45,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.0,0.0,0.0,0.0
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,Human,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.9,0.3943977355957031,1.4834904683160919,1,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",0.9,0.3250829875469208,1.3841455080549194,2,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.8,0.6128694415092468,1.8457199930594739,2,0.0,0.8,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,Human,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.85,0.42270907759666443,1.5260902575337958,2,0.0,0.15,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,Human,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.8,0.5004023909568787,1.6493848347269997,2,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,Human,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
