condition,task,text_version,field,comparison,facet,metric,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_boot,notes
baseline,proposals,rephrased,whole,human_vs_claude,simpson_similarity,gini_simpson,,0.5288255973536431,0.3263715660832718,0.6171629507280003,ratio,0.27781122424456284,0.3364956669436602,0.5099448593757114,0.5387426629765483,permutation,0.20245403127037132,0.0484951504849515,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,rephrased,whole,human_vs_gemini,simpson_similarity,gini_simpson,,0.5288255973536431,0.38938611255514144,0.7363223612921032,ratio,0.3494264628346281,0.40030485041583597,0.5099448593757114,0.5387426629765483,permutation,0.13943948479850166,0.20277972202779723,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,rephrased,whole,human_vs_gpt,simpson_similarity,gini_simpson,,0.5288255973536431,0.40944831868471143,0.7742596438857703,ratio,0.3750210039827187,0.4204694917388616,0.5099448593757114,0.5387426629765483,permutation,0.11937727866893166,0.2091790820917908,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,rephrased,whole,human_vs_pooled_ai,simpson_similarity,gini_simpson,,0.5288255973536431,0.3737312192203524,0.7067192304808688,ratio,0.2171112036453812,0.4977257801006645,0.5099448593757114,0.5387426629765483,same_size_subsample,0.1550943781332907,0.04095904095904096,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
baseline,proposals,rephrased,whole,human_vs_claude,simpson_similarity,inverse_simpson,,2.122356380956791,1.4844979066361927,0.6994574143890755,ratio,1.3846804390587604,1.5071493333852422,2.040587145615149,2.1679874772394117,permutation,0.6378584743205982,0.0537946205379462,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,rephrased,whole,human_vs_gemini,simpson_similarity,inverse_simpson,,2.122356380956791,1.637696129356876,0.771640495465977,ratio,1.537105254526117,1.6675139038801283,2.040587145615149,2.1679874772394117,permutation,0.484660251599915,0.23067693230676933,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,rephrased,whole,human_vs_gpt,simpson_similarity,inverse_simpson,,2.122356380956791,1.693331899035119,0.7978546460098934,ratio,1.6000540591602883,1.7255346988612694,2.040587145615149,2.1679874772394117,permutation,0.429024481921672,0.20937906209379062,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
baseline,proposals,rephrased,whole,human_vs_pooled_ai,simpson_similarity,inverse_simpson,,2.122356380956791,1.617855579279363,0.7622921361350297,ratio,1.277320617684943,1.9909443532538624,2.040587145615149,2.1679874772394117,same_size_subsample,0.504500801677428,0.006993006993006993,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
baseline,proposals,rephrased,whole,human_vs_claude,simpson_categorical,gini_simpson,literature_region,0.7977315689981097,0.7637051039697542,0.9573459715639809,ratio,,,,,permutation,0.03402646502835549,0.31586841315868414,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
baseline,proposals,rephrased,whole,human_vs_gemini,simpson_categorical,gini_simpson,literature_region,0.7977315689981097,0.718336483931947,0.900473933649289,ratio,,,,,permutation,0.07939508506616266,0.18098190180981902,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
