condition,task,text_version,field,comparison,facet,metric,is_primary,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_sub,parity_ref,notes,ratio,log2ratio,z_generation,delta_filtering_aligned
baseline,proposals,original,whole,human_vs_claude,spread,mean_pairwise,True,,0.0920805481225172,0.0641147042386988,1.436184557285045,ratio,0.063288464181519,0.0647567321763337,0.0895229536605494,0.093521728221825,permutation,0.0279658438838184,9.999000099990002e-05,,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6962893417336241,-0.5222411549905338,-1.2250001313466763,-0.5652173913043478
baseline,proposals,original,whole,human_vs_claude,spread,centroid_loo,False,,0.3077511553960533,0.2580387142513,1.1926549715184949,ratio,0.2566918021705414,0.2596481466947434,0.3040528726715718,0.3106352679639131,permutation,0.0497124411447532,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.8384654605738944,-0.254176739702487,,
baseline,proposals,original,whole,human_vs_claude,spread,mst_dispersion,False,,0.0612108143988316,0.045172002145308,1.3550609114453331,ratio,0.0445930336913214,0.046260261482712,0.0600712164780315,0.0625857892249784,permutation,0.0160388122535236,0.0008999100089991,0.0015267934284415,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7379742058483418,-0.43835770373044664,,
baseline,proposals,original,whole,human_vs_claude,spread,sparseness,False,,0.0760741004601474,0.0566861641602948,1.3420223715442838,ratio,0.0560171955547202,0.0575849684591502,0.0748018786553479,0.077297220042691,permutation,0.0193879362998526,0.0030996900309969,0.004516691188024,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7451440610854246,-0.42440872149858694,,
baseline,proposals,original,whole,human_vs_claude,spread,nn_isolation,False,,0.0583124382798641,0.0431925610318554,1.3500574378272567,ratio,0.0425499347297112,0.0442933120570073,0.057092895895511,0.0605569268591522,permutation,0.0151198772480087,0.0027997200279972,0.0041030379720648,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7407092261269796,-0.43302078765075586,,
baseline,proposals,original,whole,human_vs_claude,spread,spherical_variance,False,,0.0450534287355304,0.031148674151825,1.4463995647432912,ratio,0.0306763783034847,0.0313995897178049,0.0436809189181763,0.045678640076336,permutation,0.0139047545837053,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6913718894664344,-0.5324661487238795,,
baseline,proposals,original,whole,human_vs_claude,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,22.0,22.0,22.0,22.0,permutation,0.0,1.0,1.0,23.0,23.0,10000.0,1.0,,1.0,0.0,,
baseline,proposals,original,whole,human_vs_claude,richness,vendi,True,q=1,1.7279295553100062,1.5044012874777637,1.1485828745912627,ratio,1.492969381556441,1.5046295649857704,1.6987806807470558,1.7324603929108398,permutation,0.2235282678322427,9.999000099990002e-05,,23.0,23.0,10000.0,1.0,,0.8706380898773738,-0.1998549563660537,-1.7484194681340417,-0.5652173913043478
baseline,proposals,original,whole,human_vs_claude,richness,vendi,False,q=2,1.2012668572196157,1.1345580216242996,1.0587972006048767,ratio,1.1323572108410966,1.1357195159804885,1.194506410673627,1.2043757807957731,permutation,0.066708835595316,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,,0.9444679296740804,-0.0824262855534286,,
baseline,proposals,original,whole,human_vs_claude,richness,vendi,False,q=1;kernel=rbf;sigma=0.5x_median,20.282535561906993,17.356326016650183,1.168596138517429,ratio,,,,,permutation,2.9262095452568104,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.8557276265422861,-0.22477642719469917,,
baseline,proposals,original,whole,human_vs_claude,richness,vendi,False,q=1;kernel=rbf;sigma=1.0x_median,6.5606283482698995,4.7000141444599475,1.3958741711454454,ratio,,,,,permutation,1.860614203809952,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.7163969508651388,-0.48116889796145684,,
baseline,proposals,original,whole,human_vs_claude,richness,vendi,False,q=1;kernel=rbf;sigma=2.0x_median,2.106655915781269,1.7670731112772482,1.192172470022233,ratio,,,,,permutation,0.3395828045040208,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.8388048081510815,-0.2535929636914834,,
baseline,proposals,original,whole,human_vs_claude,evenness,vendi_slope,False,q=0..2,0.9477710062078428,0.9506713903641608,0.0029003841563179,diff,0.9483763856372506,0.9485292176890412,0.945255646327465,0.9457042540602896,permutation,-0.0029003841563179,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,relative VS0->VS2 drop (spec 4.2); larger = few dominant modes = less even; effect = AI - Human,1.0030602161675348,0.004408217075332813,,
baseline,proposals,original,whole,human_vs_claude,coverage,coverage_geometric,False,k=2,0.8181818181818182,0.6521739130434783,0.6521739130434783,coverage,0.4545454545454545,1.0,,,split_half_reference,0.6521739130434783,0.2367632367632367,0.2988842840327989,23.0,23.0,1000.0,0.8181818181818182,density=0.7391; human_value = median human split-half coverage (parity ref); ci = split-half band,0.7971014492753623,-0.32716474325350947,,
baseline,proposals,original,whole,human_vs_claude,coverage,coverage_geometric,True,k=3,1.0,0.7391304347826086,0.7391304347826086,coverage,0.5454545454545454,1.0,,,split_half_reference,0.7391304347826086,0.1278721278721278,,23.0,23.0,1000.0,1.0,density=0.6377; human_value = median human split-half coverage (parity ref); ci = split-half band,0.7391304347826086,-0.43609911480667357,-1.336462246113559,
baseline,proposals,original,whole,human_vs_claude,coverage,coverage_geometric,False,k=5,1.0,0.9130434782608696,0.9130434782608696,coverage,0.8181818181818182,1.0,,,split_half_reference,0.9130434782608696,0.1018981018981019,0.1360419685027015,23.0,23.0,1000.0,1.0,density=0.9043; human_value = median human split-half coverage (parity ref); ci = split-half band,0.9130434782608696,-0.1312445332782525,,
