condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,reviews,rephrased,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,794.0,0.5021969484104903,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,803.0,0.5416661906722537,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,731.5,0.24734666245968817,0.9771972720293501,True,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,747.0,0.5976039538447769,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,788.0,0.47584821715069164,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,975.0,0.9771972720293501,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,972.0,0.975349829440656,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,803.5,0.543850516572628,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,656.5,0.20669315166112545,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,strengths,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,614.0,0.024020874956884437,0.8549468951446375,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,843.0,0.7071882741967076,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,845.0,0.7147166088091557,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,819.5,0.6126995479826379,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,651.0,0.1887049229892026,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,rephrased,weakness,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,715.0,0.19363114870564868,0.9771972720293501,False,"JT over paired Human-AI differences by model, alternative = decreasing"
