proposal_uid,mesh_unique_terms_k20,source_group,source_type,title
y1::1,96,Human,human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES
y1::10,120,Human,human,Transposable elements and the emergence of genomic innovation
y1::11,102,Human,human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions
y1::12,101,Human,human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data
y1::2,130,Human,human,Elucidating genome structure-function relationships in human brain cells
y1::3,68,Human,human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis
y1::4,83,Human,human,Synthesizing gene expression data to create an atlas of bacterial cell states
y1::5,62,Human,human,Energetic Origins of Connectivity within Protein Interaction Networks
y1::6,101,Human,human,Elucidating emergent structures in cellular RNA-protein interaction networks
y1::7,118,Human,human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation
y1::8,133,Human,human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data
y1::9,72,Human,human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning
y2::1,69,Human,human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation
y2::10,50,Human,human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions
y2::11,68,Human,human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data
y2::2,88,Human,human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies
y2::3,66,Human,human,Deciphering systemic biological networks through AI-driven multi-omic integration
y2::4,54,Human,human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions
y2::5,104,Human,human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation
y2::6,63,Human,human,Revealing the Ontology of Allostery through Community-Scale Synthesis
y2::7,97,Human,human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis
y2::8,66,Human,human,A Unified Framework for Analyses of Proteome Turnover Dynamics
y2::9,78,Human,human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics
one_at_a_time::claude-sonnet-5::01,112,Claude,ai,"Decoding the Sequence-to-Mesoscale Grammar of Biomolecular Condensates: A Multi-Omic Synthesis of Phase Behavior, Interactome Architecture, and Cellular Function"
one_at_a_time::claude-sonnet-5::02,129,Claude,ai,From Sequence Grammar to Cellular Phenotype: A Multi-Scale Data Synthesis of Biomolecular Condensate Emergence
one_at_a_time::claude-sonnet-5::03,107,Claude,ai,Decoding the Sequence-to-Mesoscale Grammar of Biomolecular Condensates: A Multi-Omics Synthesis of Phase Separation Determinants and Cellular Consequences
one_at_a_time::claude-sonnet-5::04,68,Claude,ai,"Decoding the Molecular Grammar of Mesoscale Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Structural Organization, and Cellular Phenotype"
one_at_a_time::claude-sonnet-5::05,101,Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Structural Disorder, and Mesoscale Material Properties to Cellular Function"
one_at_a_time::claude-sonnet-5::06,113,Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Modal Data Synthesis Across Sequence, Structure, Interactome, and Imaging Scales"
one_at_a_time::claude-sonnet-5::07,107,Claude,ai,From Sequence to Cellular Phenotype: A Multi-Database Synthesis of the Molecular Grammar Governing Emergent Material Properties of Biomolecular Condensates
one_at_a_time::claude-sonnet-5::08,105,Claude,ai,From Sequence Grammar to Cellular Phenotype: A Multi-Scale Data Synthesis of Biomolecular Condensate Emergence and Its Disruption in Disease
one_at_a_time::claude-sonnet-5::09,127,Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Scale Data Synthesis of Sequence, Structure, and Material Properties"
one_at_a_time::claude-sonnet-5::10,99,Claude,ai,Decoding the Condensatome: A Multiscale Data Synthesis Framework Linking Molecular Grammar to Emergent Biomolecular Condensate Function
one_at_a_time::claude-sonnet-5::11,90,Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Scale Synthesis of Sequence, Network, Structural, and Imaging Data"
one_at_a_time::claude-sonnet-5::12,87,Claude,ai,"Decoding the Molecular Grammar of Emergent Condensate Material Properties: A Multi-Database Synthesis Linking Sequence, Structure, and Cellular Function"
one_at_a_time::claude-sonnet-5::13,90,Claude,ai,Decoding the Sequence-to-Phenotype Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis Initiative
one_at_a_time::claude-sonnet-5::14,68,Claude,ai,"Decoding the Molecular Grammar of Emergent Biomolecular Condensates: A Multi-Scale Data Synthesis Framework Linking Sequence, Structure, and Cellular Phenotype"
one_at_a_time::claude-sonnet-5::15,88,Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensates: A Cross-Species, Multi-Omics Synthesis of Mesoscale Emergence and Its Cellular Consequences"
one_at_a_time::claude-sonnet-5::16,107,Claude,ai,Decoding the Molecular Grammar of Mesoscale Emergence: A Cross-Database Synthesis Linking Biomolecular Condensate Sequence Features to Material States and Cellular Phenotypes
one_at_a_time::claude-sonnet-5::17,103,Claude,ai,Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis from Sequence to Cellular Phenotype
one_at_a_time::claude-sonnet-5::18,86,Claude,ai,"Decoding the Molecular Grammar of Mesoscale Emergence: A Multi-Omic Synthesis of Biomolecular Condensate Formation, Material Properties, and Cellular Phenotype"
one_at_a_time::claude-sonnet-5::19,85,Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Mesoscale Material Properties, and Cellular Phenotypes"
one_at_a_time::claude-sonnet-5::20,110,Claude,ai,From Sequence Grammar to Cellular Phenotype: A Multi-Omic Synthesis of Biomolecular Condensate Data to Decode Rules of Mesoscale Emergence
one_at_a_time::claude-sonnet-5::21,125,Claude,ai,From Molecular Grammar to Mesoscale Material Properties: A Multi-Omic Synthesis of Biomolecular Condensate Emergence
