pair_type,proposal_key,match_method,human_reviewer,ai_model,cosine_similarity,sentiment_alignment,categorical_agreement,categorical_agreement_num,ai_model_1,ai_model_2,ai_model_pair,human_reviewer_1,human_reviewer_2
human-ai,Y1_01,fuzzy,human-reviewer-1,gpt-5.2,0.9583608508110046,0.9640543188483071,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-1,gemini-3-pro-preview,0.960241436958313,0.9604972968659604,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-1,claude-opus-4-5,0.9666554927825928,0.9866755672171631,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-2,gpt-5.2,0.9339774250984192,0.9810180728362546,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-2,gemini-3-pro-preview,0.9643310308456421,0.977461050853908,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-2,claude-opus-4-5,0.9665952920913696,0.9963606787948893,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-3,gpt-5.2,0.9485196471214294,0.9953174032818302,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-3,gemini-3-pro-preview,0.9646086096763611,0.9988744252641768,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-3,claude-opus-4-5,0.9668156504631042,0.9726961549129741,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-4,gpt-5.2,0.9624314904212952,0.9918162687480869,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-4,gemini-3-pro-preview,0.9662966132164001,0.9953732907304336,agree,2,,,,,
human-ai,Y1_01,fuzzy,human-reviewer-4,claude-opus-4-5,0.9706109762191772,0.9691950203792309,agree,2,,,,,
ai-ai,Y1_01,fuzzy,,,0.964850664138794,0.9964429780176534,agree,2,gpt-5.2,gemini-3-pro-preview,gemini-3-pro-preview vs gpt-5.2,,
