model,author,title,abstract,generated_at,source_file
claude-opus-4-5,claude-opus-4-5,The Condensate Client Grammar: Predicting Biomolecular Condensate Composition from Scaffold Sequence,"Biomolecular condensates organize cellular biochemistry through selective recruitment of client proteins, yet the rules governing client selection remain poorly understood. Existing predictive models address phase-separation propensity of scaffolds but stop short of predicting which proteins are recruited as clients—the question that matters most for understanding condensate function. This Working Group will synthesize publicly available condensate proteomics datasets (CD-CODE, PhaSepDB, DrLLPS, and condensate-specific APEX/BioID studies) with intrinsically disordered region (IDR) feature databases (MobiDB, IDEAL) and full proteome sequence resources to develop the first proteome-scale model of condensate client recruitment. The team will integrate biophysicists specializing in IDR sequence-function relationships, machine learning researchers expert in protein language models, and cell biologists with deep expertise in specific condensate systems (stress granules, P-bodies, nucleoli, transcriptional condensates). The synthesis will harmonize ~50 published condensate proteomes into a single annotated resource with controlled vocabularies for cellular context, stress condition, and confidence level. We will train sequence-to-client models using transformer architectures pretrained on protein sequences and fine-tuned on condensate membership data, then validate predictions against held-out condensate types and orthogonal in-cell localization datasets from OpenCell and the Human Protein Atlas. The project will yield (1) a unified, openly accessible condensate-client database, (2) predictive models released as a community web tool, (3) a quantitative grammar relating IDR sequence features to client identity, and (4) testable hypotheses about previously uncharacterized condensates. This work requires NCEMS support because no single lab possesses the combined biophysical, machine-learning, and cell-biological expertise, nor the resources to harmonize fragmented condensate datasets that currently exist in inconsistent formats across publications. The training plan will support four graduate students and three postdocs through a structured rotation across participating labs, with formal training modules in protein language modeling, condensate biology, and FAIR data practices. Trainees will lead sub-projects targeting specific condensate classes and present jointly at an annual workshop. All datasets, code, and trained models will be released under permissive licenses with versioned DOIs through Zenodo and the project's GitHub organization, following community standards for reproducible ML research. Beyond its immediate scientific contribution, this Working Group will establish a template for synthesis-driven hypothesis generation in condensate biology, enabling downstream experimental groups to prioritize targets for mechanistic study. The broader impact extends to disease biology, since aberrant condensate composition underlies neurodegenerative conditions including ALS and FTD; predictive models of client recruitment will accelerate the identification of disease-relevant mis-recruitment events. By moving beyond phase-separation prediction to client-composition prediction, this project addresses a long-standing puzzle in mesoscale biology and provides infrastructure that the broader community can build upon for years.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,Membrane Contact-Site Composition Rules Across the Cell-Type Landscape,"Inter-organelle membrane contact sites (MCSs) coordinate lipid transfer, calcium signaling, and organelle dynamics, yet whether their molecular composition follows universal rules or varies systematically with cell type remains unknown. This question has resisted resolution because relevant data—electron tomography reconstructions, organelle-proximity proteomes, and lipidomic atlases—live in disconnected archives with incompatible annotations. This Working Group will synthesize EMPIAR cryo-electron tomography datasets, organelle-targeted proximity proteomics studies (Mito-IP, ER-IP, lipid-droplet-IP, peroxisome-IP), and tissue/cell-type lipidomic atlases to derive the first cross-cellular rulebook for MCS composition. The team brings together cryo-electron microscopists with quantitative tomogram analysis expertise, mass spectrometry proteomicists, lipidomics specialists, and computational biologists experienced in multi-modal data integration. We will develop a controlled vocabulary for MCS types (ER-mitochondria, ER-PM, ER-LD, mitochondria-LD, peroxisome-mitochondria, lysosome-mitochondria), harmonize proximity-proteomics datasets to a common reference proteome and confidence framework, and build a queryable atlas linking ultrastructural features to molecular composition. Statistical models will partition MCS variance into universal versus cell-type-specific components and test whether contact-site composition predicts inter-organelle functional outcomes such as calcium transfer rates or lipid flux. The deliverables include (1) a federated MCS atlas with standardized annotations, (2) statistical rulebooks for compositional regularities across cell types, (3) testable predictions about MCS roles in tissue-specific physiology, and (4) open analysis pipelines for harmonizing future MCS datasets. NCEMS support is essential because the synthesis requires harmonization of structural, proteomic, and lipidomic data archives that no single lab maintains, and demands ontological work that benefits from community input. The training plan supports five trainees—graduate students and postdocs with backgrounds spanning structural biology, mass spectrometry, and computational biology—who will receive formal training in cross-modal data integration, ontology development, and reproducible workflow management through Snakemake or Nextflow. Trainees will co-author a community standards document on MCS data reporting, providing them with experience in standards development that is rare in graduate training. All harmonized datasets and analysis code will be deposited in BioImage Archive, ProteomeXchange, and MetaboLights with cross-archive linking, and the rulebook will be released as both a publication and a continuously updated wiki. The broader significance lies in establishing MCSs as a tractable mesoscale system for synthesis research and in providing infrastructure for studying contact-site dysfunction in disease. By revealing whether MCSs follow universal rules or are cell-type-tuned, this project will resolve a foundational question about how compartmental boundaries are organized at the mesoscale.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,"Unified Dynamical Model of TAD Emergence Across Hi-C, Imaging, and Perturbation Data","Topologically associating domains (TADs) are emergent features of three-dimensional chromatin organization, but the field has struggled to reconcile static population-averaged Hi-C maps with dynamic single-cell imaging observations and the complex effects of cohesin and CTCF perturbations. Existing models typically fit one data type at a time, leaving the underlying dynamical principles unclear. This Working Group will synthesize Hi-C and micro-C data from the 4DN consortium, ENCODE, and individual high-resolution studies; live-cell chromatin imaging datasets from publications and consortium repositories; and perturbation atlases targeting cohesin subunits, CTCF, WAPL, and NIPBL, to construct the first unified dynamical model that simultaneously fits population contact frequencies and single-cell trajectory data under shared perturbation conditions. The team integrates polymer physicists, chromatin biologists, live-imaging specialists, and machine-learning researchers experienced in neural ordinary differential equations and stochastic dynamical systems. We will develop a parameterized loop-extrusion-plus-compartmentalization model with cell-type-specific parameters inferred jointly from contact maps and imaging trajectories, then test whether the same parameters predict perturbation responses observed in independent datasets. Bayesian inference will quantify parameter uncertainty and identify regimes where current data cannot distinguish among competing models, providing a roadmap for future experimental investment. Deliverables include (1) a unified dynamical model with open-source simulation code, (2) harmonized chromatin perturbation datasets across modalities, (3) quantitative reconciliation of static and dynamic measurements, and (4) identification of remaining data gaps. NCEMS support is essential because integration across Hi-C, imaging, and perturbation archives requires sustained interdisciplinary effort beyond any single lab's capacity, and because dynamical inference at this scale demands shared computational infrastructure. The training plan supports four graduate students and two postdocs through cross-lab rotations, with formal training in polymer physics, single-cell imaging analysis, and probabilistic programming using PyMC or Stan. Trainees will lead sub-projects on specific perturbation conditions and contribute to a methods paper on multimodal dynamical inference. All code will be released under permissive licenses, simulations will be reproducible via containerized workflows, and the inferred models will be deployable as web services that researchers can query with their own data. By unifying contact-frequency and imaging measurements under a single mechanistic framework, this project addresses a long-standing puzzle in chromatin biology and demonstrates how synthesis research can resolve disputes that have persisted because no single experimental modality is sufficient. The broader impact includes implications for understanding gene regulation in development and disease, where TAD disruption is increasingly implicated in pathology.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,Resolving the Specialized-Ribosome Hypothesis Through Multi-Modal Data Synthesis,"The specialized-ribosome hypothesis—that compositionally distinct ribosomes preferentially translate distinct mRNA classes—has remained contested for over a decade because no single laboratory possesses the combined ribosome profiling, structural biology, and quantitative proteomics resources needed to test it definitively. This Working Group will synthesize public ribo-seq datasets (GWIPS-viz, Trips-Viz), ribosome structural variants from EMDB and PDB, ribosomal protein and rRNA modification atlases, and condition-resolved proteomics to perform the first synthesis-scale test of specialized translation. The team brings together ribosome structural biologists, ribosome profiling experts, mass spectrometrists with quantitative ribosome composition expertise, and computational biologists specializing in differential translation analysis. We will harmonize ribo-seq experiments across ~200 conditions and tissues, controlling for technical variation; map ribosomal protein and rRNA modification stoichiometries from public proteomics and CLIP datasets; and align these compositional measurements with translational efficiency profiles for specific mRNA classes. Statistical models will test whether compositional variation predicts translational selectivity beyond what is expected from generic abundance and codon-usage effects. Critically, the synthesis will also identify experimental gaps where the specialized-ribosome hypothesis cannot currently be tested with available data, guiding future experimental work. Deliverables include (1) a harmonized ribo-seq atlas with consistent processing across hundreds of studies, (2) a quantitative ribosome compositional landscape integrating structural and proteomic measurements, (3) statistical evaluation of specialization claims with calibrated uncertainty, and (4) a community resource enabling future tests of translation-specialization hypotheses. NCEMS support is essential because the synthesis spans data types and communities (translation, structural biology, proteomics) that rarely interact, and because ribo-seq harmonization at this scale requires sustained computational infrastructure. The training plan supports six trainees with backgrounds in molecular biology, structural biology, and computational genomics through coordinated sub-projects, formal training in ribo-seq analysis, structural data integration, and reproducible bioinformatics, and joint mentoring across institutions. Trainees will co-lead the harmonized atlas paper and contribute first-author analyses on specific organisms or tissue contexts. All harmonized data and analysis code will be released through Zenodo with versioned DOIs, the atlas will be queryable through a public web portal, and standards developed for ribo-seq harmonization will be proposed to the relevant data archives. By resolving—or definitively framing—the specialized-ribosome hypothesis, this Working Group will address a long-standing puzzle that exemplifies why molecular biology needs synthesis-scale approaches: questions whose resolution has been obstructed not by missing data but by data fragmentation across labs and modalities.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,Allometric Scaling Laws of Subcellular Organelles Across Cell Types and Species,"Metabolic scaling laws relate organism size to physiology with remarkable cross-species generality, but whether analogous laws govern subcellular organelle size, count, and connectivity remains untested at synthesis scale. Existing data on organelle morphometrics are scattered across electron microscopy archives, the Human Protein Atlas, OpenCell, cell atlases, and individual publications, with no harmonized resource for comparative analysis. This Working Group will synthesize quantitative organelle morphometric data across cell types, tissues, and species to derive empirical scaling laws relating organelle features to cell volume, ploidy, metabolic rate, and developmental stage. The team unites cell biologists with deep organelle expertise, electron microscopists experienced in segmentation of large volumes, comparative biologists with organism-spanning perspectives, and statistical modelers expert in allometric analysis. We will harmonize segmentation outputs from public EM volumes (OpenOrganelle, EMPIAR, CellMap), integrate them with HPA imaging-derived morphometrics and OpenCell organelle measurements, and add comparative data from non-model organisms where available. Phylogenetically informed regression will test for universal scaling exponents and identify cell types or organelles that systematically deviate. Deliverables include (1) the first cross-cellular, cross-species organelle morphometric database, (2) quantitative scaling laws for major organelles, (3) identification of outlier cell types where mesoscale architecture violates universal trends, and (4) testable hypotheses about why specific organelles scale as they do. NCEMS support is critical because the synthesis requires segmentation-tool harmonization, ontology development, and phylogenetic analysis spanning communities that rarely collaborate, and because the comparative scope demands archive-spanning infrastructure no single lab can maintain. The training plan supports five graduate students and postdocs through coordinated rotations, formal training in EM segmentation, allometric statistics, and phylogenetic comparative methods, and a cross-lab capstone project where each trainee leads scaling analysis for one organelle class. Trainees will participate in a journal club exposing them to scaling theory across biological scales and will co-author the resulting papers. All harmonized morphometric data will be released through Zenodo and the BioImage Archive with cross-references to source datasets, segmentation pipelines will be containerized and reproducible, and the scaling-law database will be available through a queryable web interface. The broader impact is foundational: establishing whether mesoscale architecture obeys universal scaling principles—or whether such principles even exist at this scale—will inform theoretical cell biology for decades. By demonstrating that cell biology can be approached with the comparative quantitative rigor of organismal allometry, this project will catalyze a new style of synthesis research at the mesoscale.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,Cytoskeletal Coordination as a Distributed Control System: Synthesis of Live-Cell Imaging Data,"The actin and microtubule cytoskeletons coordinate diverse cellular behaviors—migration, division, polarization—through dynamics that have traditionally been modeled with reaction-diffusion frameworks. Engineering control theory, which formally analyzes how distributed systems regulate variables despite noise, has rarely been applied to cytoskeletal coordination, yet cells appear to solve control problems remarkably similar to those addressed in robotic swarms and distributed sensor networks. This Working Group will synthesize live-cell imaging datasets of cytoskeletal dynamics from the Image Data Resource (IDR), Cell Image Library, and individual publications to identify control-law signatures—evidence that cells regulate specific physical variables (cortical tension, polymer flux, leading-edge curvature) through feedback. The team unites cell biologists studying cytoskeletal dynamics, control theorists from engineering departments, computer-vision researchers expert in cell tracking, and biophysicists experienced in active-matter modeling. We will harmonize quantitative cytoskeletal time-series from ~30 published imaging studies into a unified format, develop control-theoretic identification methods that infer regulated variables from observed trajectories, and test whether identified control laws transfer across cell types and perturbation conditions. Deliverables include (1) a harmonized cytoskeletal dynamics dataset with consistent quantification, (2) inferred control architectures for major cytoskeletal coordination tasks, (3) open-source software bringing engineering control identification methods to cell biology, and (4) testable predictions about how cells respond to perturbations of inferred control variables. NCEMS support is essential because the project requires deep collaboration between cell biology and engineering communities that rarely co-author work, and because harmonizing live-imaging datasets across labs demands sustained quantitative-imaging expertise. The training plan supports four trainees from cell biology and engineering programs through co-mentoring across disciplines, formal training in control theory and quantitative imaging, and joint work on shared sub-problems that demand bridging both fields. Trainees will participate in cross-disciplinary seminars and co-author the methods paper introducing control identification to cell biology. All harmonized datasets and analysis code will be released through IDR and GitHub with reproducible Jupyter notebooks, control-identification software will be packaged as installable Python libraries, and a web tool will allow researchers to upload their own time-series data for control analysis. By recasting cytoskeletal coordination as a control problem, this project introduces a new analytical lens that may resolve why cytoskeletal dynamics appear robust to many perturbations but fragile to specific ones. The broader impact extends to synthetic biology and tissue engineering, where designing cells with desired dynamic behaviors will require the very kind of control framework this synthesis aims to establish.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,A Renormalization-Group Framework for Multiscale Modeling of Mesoscale Biological Assemblies,"Renormalization-group (RG) theory provides a principled framework for coarse-graining systems across scales, yet its application in biology has been largely confined to neural and tissue dynamics. The mesoscale—where biomolecular complexes give rise to organelle-scale phenomena—is precisely the regime where RG approaches should yield predictive multiscale models, but the requisite synthesis of structural, dynamical, and functional data has not been undertaken. This Working Group will develop and validate RG-style coarse-graining methods for mesoscale assemblies by synthesizing structural data from PDB and AlphaFold-DB, cryo-electron tomography from EMPIAR, dynamical data from molecular dynamics archives (MoDEL, BIGNASim) and live-cell imaging, and functional data from perturbation atlases. The team brings together statistical physicists with RG expertise, structural biologists, computational biophysicists experienced in coarse-grained modeling, and machine-learning researchers expert in neural-network coarse-graining methods. We will develop coarse-graining schemes that systematically integrate molecular-scale information into mesoscale effective models, test their predictive accuracy against held-out functional data, and identify which mesoscale phenomena admit RG-style treatment versus which require fundamentally different approaches. Deliverables include (1) RG-coarse-graining methods released as open-source software with clear documentation, (2) validated multiscale models for several mesoscale systems (a condensate, a membrane assembly, a chromatin domain), (3) a theoretical framework distinguishing tractable from intractable mesoscale phenomena, and (4) a benchmark dataset enabling future methods development. NCEMS support is essential because the project bridges statistical physics and cell biology in ways no single lab supports, and because validation across mesoscale systems requires archive-spanning data integration. The training plan supports five trainees from physics and biology programs through formal training in statistical mechanics, coarse-grained modeling, and biological data integration, complemented by cross-disciplinary seminars and joint sub-projects requiring physics-biology collaboration. Trainees will lead system-specific applications and contribute to the methods paper introducing the framework. All software will be released under permissive licenses, models will be containerized for reproducibility, and the benchmark will be hosted on Zenodo with clear evaluation protocols. By bringing rigorous multiscale theory to mesoscale biology, this project addresses an innovative analytical strategy explicitly sought by the call. The broader impact lies in establishing whether biological mesoscale phenomena can be understood with the kind of universal frameworks that physics has provided for other multiscale systems, or whether biology demands fundamentally different theoretical foundations—either answer would reshape how the field approaches mesoscale phenomena.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,Condensate Composition as Community Ecology: Neutral and Niche-Based Assembly Models,"Community ecology has developed sophisticated null models and theoretical frameworks—neutral theory, niche partitioning, environmental filtering—to explain why specific species co-occur in specific environments. Biomolecular condensates pose a strikingly analogous question: why do specific proteins co-occur in specific condensates? Yet ecological frameworks have not been applied to condensate composition at synthesis scale, leaving the field reliant on ad hoc explanations for client recruitment. This Working Group will synthesize public condensate proteomics data across condition, cell type, and organism with ecological community-assembly statistics to test which class of assembly model—neutral, niche-based, or hybrid—best explains condensate composition. The team unites quantitative ecologists with deep expertise in community-assembly theory, condensate biologists, computational biologists experienced in compositional data analysis, and statisticians expert in null-model testing. We will harmonize condensate proteomic datasets into species-by-site-style matrices (proteins-by-condensates), apply ecological null models including the Raup–Crick metric, joint species distribution models, and phylogenetic community ecology methods adapted for protein evolutionary relationships, and test whether condensate composition shows signatures of competitive exclusion, environmental filtering by physicochemical condition, or stochastic assembly. Deliverables include (1) condensate-as-community datasets formatted for ecological analysis, (2) statistical evaluations of competing assembly models, (3) an open-source toolkit applying ecological methods to molecular composition data, and (4) testable predictions about how condensate composition should respond to perturbation. NCEMS support is essential because the project requires sustained collaboration between ecological and molecular biology communities that rarely interact, and because the methodological transfer demands joint development of new statistical approaches. The training plan supports four trainees from ecology and molecular biology programs through cross-disciplinary co-mentoring, formal training in community ecology theory and condensate biology, and shared sub-projects requiring fluency in both fields. Trainees will participate in a joint reading group spanning the two communities and will co-author the toolkit paper. All datasets, code, and statistical pipelines will be released through GitHub with reproducible R and Python notebooks, and the toolkit will be packaged as an installable library with extensive tutorials. The broader impact lies in demonstrating that ecological frameworks can illuminate molecular-scale assembly questions and in establishing methodological infrastructure for future synthesis projects that treat molecular communities with ecological rigor. By importing tested ecological theory into condensate biology, this project addresses both a novel scientific question and an innovative analytical strategy that could transfer to other mesoscale assemblies.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,Self-Organized Criticality at the Mesoscale: Avalanche Statistics in Cellular Dynamics,"Self-organized criticality (SOC) describes systems that naturally evolve to critical states exhibiting power-law avalanche statistics, with examples ranging from neural dynamics to earthquakes. Whether mesoscale cellular dynamics—signaling cascades, condensate formation events, cytoskeletal rearrangements—exhibit SOC signatures has been suggested theoretically but never tested at synthesis scale, in part because doing so requires harmonizing live-imaging time-series data across many studies. This Working Group will synthesize live-cell imaging datasets capturing dynamic mesoscale events from the Image Data Resource, Allen Cell Explorer, and individual high-quality time-series studies to test for SOC signatures across multiple mesoscale phenomena. The team brings together statistical physicists with avalanche-analysis expertise, cell biologists studying signaling and condensate dynamics, quantitative-imaging specialists, and computational biologists experienced in time-series analysis. We will harmonize quantitative time-series of calcium dynamics, kinase activation, condensate nucleation events, and cytoskeletal pattern formation from ~50 published datasets, apply rigorous statistical tests for power-law distributions and finite-size scaling, and assess whether observed signatures are consistent with SOC versus alternative explanations such as multiplicative noise. Deliverables include (1) harmonized mesoscale dynamics datasets with consistent quantification, (2) rigorous statistical evaluation of SOC signatures across phenomena, (3) open-source software for SOC analysis adapted to biological time-series, and (4) a theoretical assessment of which mesoscale phenomena are candidates for criticality-based explanations. NCEMS support is essential because rigorous SOC testing requires statistical-physics expertise rare in biology, and because synthesis across imaging modalities demands sustained quantitative infrastructure. The training plan supports four graduate students and one postdoc through co-mentoring across physics and biology, formal training in statistical-physics methods and quantitative cell imaging, and joint work on system-specific sub-projects. Trainees will participate in a cross-disciplinary seminar series and co-author the methods paper introducing rigorous SOC analysis to mesoscale biology. All harmonized datasets, analysis pipelines, and statistical code will be released openly through Zenodo and GitHub, with reproducible notebooks documenting every analysis step. The broader impact lies in determining whether the unifying framework of criticality—which has illuminated diverse complex systems—applies to mesoscale cellular dynamics, or whether biology requires different theoretical foundations. Either answer would meaningfully advance mesoscale biology, and the harmonized datasets and methods will support future quantitative work regardless of the SOC outcome.",,claude-ideas-how-to-think.json
claude-opus-4-5,claude-opus-4-5,The Compositional Grammar of Post-Translational Modifications and Emergent Regulatory States,"Post-translational modifications (PTMs) regulate protein function combinatorially: phosphorylation alongside acetylation alongside ubiquitination produces emergent regulatory states irreducible to single-PTM effects. Despite vast public PTM datasets, no synthesis-scale framework has tested whether PTM combinations follow compositional rules analogous to syntactic grammars in linguistics, where small numbers of rules generate large numbers of valid combinations. This Working Group will synthesize PTM proteomics data from ProteomeXchange, PhosphoSitePlus, dbPTM, and condition-specific PTM atlases together with interaction-context databases (BioGRID, IntAct) and structural data to derive proteome-scale combinatorial PTM rules and link them to regulatory outcomes. The team integrates mass spectrometry experts in PTM identification, computational linguists with grammar-induction expertise, structural biologists, and machine-learning researchers experienced in compositional models. We will harmonize PTM datasets across ~300 conditions and tissues, control for false-discovery and stoichiometry biases, and apply grammar-induction algorithms originally developed in computational linguistics to identify combinatorial PTM rules. Statistical models will test whether identified rules predict downstream regulatory outcomes—interaction changes, localization shifts, degradation rates—better than additive PTM-effect models. Deliverables include (1) a harmonized combinatorial PTM atlas with controlled vocabulary, (2) inferred PTM grammars for major regulatory contexts, (3) open-source software bringing grammar-induction methods to PTM analysis, and (4) testable predictions about combinatorial PTM effects in unstudied contexts. NCEMS support is essential because the project bridges proteomics, computational linguistics, and structural biology in ways no single lab supports, and because PTM dataset harmonization at this scale demands sustained infrastructure. The training plan supports five trainees from proteomics, computer science, and structural biology programs through cross-disciplinary co-mentoring, formal training in grammar induction and PTM mass spectrometry, and joint sub-projects on specific PTM systems. Trainees will participate in a journal club spanning linguistics and biology and will co-author the methods paper. All harmonized data and code will be released through ProteomeXchange and GitHub, the inferred grammars will be queryable through a web interface, and the software will be packaged as an installable library. By extending the histone-code concept to a proteome-wide formal grammar, this project addresses an innovative analytical strategy that could transform how PTM combinatorics is studied, with implications for drug discovery and understanding regulatory dysfunction in disease.",,claude-ideas-how-to-think.json
