title_norm,group,nn_dist,is_outlier,raw_novelty,novelty_z,novelty_ratio,is_lit_outlier
an artificial intelligence framework for predicting and engineering protein regulation via emergent allosteric order parameters,Human,0.024653018,False,0.09363153,-0.27432746,0.84529364,False
evolutionary origins of complex protein topologies from knotted structures to pierced lassos,Human,0.030075967,False,0.09980012,-0.17557852,0.90098286,False
systemic biological network decipherment through artificial intelligence-driven multi-omic integration,Human,0.037284076,False,0.085324235,-0.40731353,0.77029645,False
sequence conservation learning from functional constraints in intrinsically disordered protein regions,Human,0.020783484,False,0.09227762,-0.29600126,0.83307076,False
integrative multi-omics synthesis for the identification of shared molecular mechanisms in mammalian hibernation,Human,0.1707269,True,0.18462229,1.1822846,1.6667467,True
ontological framework for allostery through community-scale synthesis of protein dynamics,Human,0.023443103,False,0.09726171,-0.21621421,0.8780665,False
synevo: evolutionary principles of molecular organization via cross-species data synthesis,Human,0.12147498,False,0.13002956,0.30834502,1.1738905,False
a unified analytical framework for the dynamics of proteome turnover,Human,0.12147498,False,0.15698616,0.7398758,1.4172513,True
predictive synthesis framework for elucidating biophysical cell states from spatial transcriptomics and proteomics,Human,0.019106925,False,0.0895778,-0.33922094,0.8086971,False
integration of artificial intelligence and molecular dynamics simulations for quantitative enzyme function prediction,Human,0.033205688,False,0.095999464,-0.23642072,0.8666711,False
discovery and functional characterization of bacterial organelles via integrated omics data mining and refinement,Human,0.12330437,True,0.21519133,1.6716447,1.9427203,True
impact of heat wave stress on cytokinetic bottlenecks in cellular division,Human,0.19456351,True,0.20486143,1.50628,1.8494632,True
elucidation of genome structure-function relationships in human brain cells,Human,0.028260887,False,0.0858949,-0.3981782,0.7754483,False
maitool: large language model-powered bioinformatics framework for comprehensive microbiome analysis,Human,0.042832315,False,0.09451307,-0.26021537,0.8532521,False
synthesis of gene expression data for the construction of a bacterial cell state atlas,Human,0.13283515,True,0.1949205,1.347142,1.7597177,True
energetic origins of connectivity patterns within protein interaction networks,Human,0.032121778,False,0.08938488,-0.34230924,0.80695546,False
elucidation of emergent structural patterns in cellular rna-protein interaction networks,Human,0.02103591,False,0.08992248,-0.33370322,0.8118088,False
the role of intrinsically disordered proteins in cellular adaptation and homeostasis,Human,0.033783376,False,0.093214706,-0.2810001,0.8415306,False
multimodal single-cell computational frameworks for cell lines with extensive multi-omics data,Human,0.032225907,False,0.08891272,-0.34986785,0.80269283,False
integrated transfer learning for mesoscale organization principles via image data and biophysical simulations,Human,0.019833803,False,0.083994344,-0.4286029,0.75829035,False
the role of transposable elements in the emergence of genomic innovation,Human,0.032679915,False,0.09521427,-0.24899039,0.8595824,False
systematic identification of novel protein-protein interactions via crosslinking mass spectrometry,Human,0.031029642,False,0.096946724,-0.22125666,0.8752228,False
intelligent metadata compilation for enhanced reusability and discoverability of mass spectrometry-based proteomics data,Human,0.16390336,True,0.1941851,1.3353693,1.7530786,True
a cross-cell-type atlas of biomolecular condensate material states and their emergent regulation of gene expression noise,gpt-5.2,0.017116725,False,0.08368947,-0.4334834,0.75553805,False
"predicting organelle contact site morphologies through integrated cryo-et, proteomics, and lipidomics of emergent membrane curvature codes",gpt-5.2,0.019099116,False,0.08953068,-0.33997536,0.80827165,False
synthesis of actin and microtubule network architecture and emergent intracellular transport efficiency in mesoscale cytoskeletal percolation,gpt-5.2,0.017483234,False,0.088599466,-0.3548825,0.7998648,False
"integration of hi-c, super-resolution imaging, and epigenomics for explaining cell-type-specific gene regulation via emergent chromatin nanodomain topology",gpt-5.2,0.01411432,False,0.091456726,-0.30914247,0.8256598,False
