condition,task,comparison,analysis,stat,value,p,n_var,n_rank
baseline,reviews,human_vs_claude,score_decision,score_sd_human,0.7362958204107177,,13,14
baseline,reviews,human_vs_claude,score_decision,score_sd_ai,0.31311360719610537,,13,14
baseline,reviews,human_vs_claude,score_decision,score_sd_delta_ai_minus_human,-0.5384615384615384,0.01025390625,13,14
baseline,reviews,human_vs_claude,score_decision,rank_agreement_spearman,0.07531618738531917,0.7980312152097515,13,14
baseline,reviews,human_vs_claude,score_decision,disagreement_predicts_divergence_spearman,-0.3958348604769447,0.18061211874447242,13,14
baseline,reviews,human_vs_claude,score_decision,divergence_concentration_spearman,-0.002781643858671354,0.9928042507083288,13,14
baseline,reviews,human_vs_gemini,score_decision,score_sd_human,0.7362958204107177,,13,14
baseline,reviews,human_vs_gemini,score_decision,score_sd_ai,0.5803925934671749,,13,14
baseline,reviews,human_vs_gemini,score_decision,score_sd_delta_ai_minus_human,-0.07692307692307693,0.223388671875,13,14
baseline,reviews,human_vs_gemini,score_decision,rank_agreement_spearman,0.45487181615551076,0.10221572234655629,13,14
baseline,reviews,human_vs_gemini,score_decision,disagreement_predicts_divergence_spearman,0.3762192317560849,0.205161618453408,13,14
baseline,reviews,human_vs_gemini,score_decision,divergence_concentration_spearman,0.055788059837972574,0.8563534477057488,13,14
baseline,reviews,human_vs_gpt,score_decision,score_sd_human,0.7362958204107177,,13,14
baseline,reviews,human_vs_gpt,score_decision,score_sd_ai,0.40602985179205786,,13,14
baseline,reviews,human_vs_gpt,score_decision,score_sd_delta_ai_minus_human,-0.5384615384615384,0.017822265625,13,14
baseline,reviews,human_vs_gpt,score_decision,rank_agreement_spearman,0.7320300713480695,0.0029151771110409253,13,14
baseline,reviews,human_vs_gpt,score_decision,disagreement_predicts_divergence_spearman,-0.3430568790800187,0.251161082156799,13,14
baseline,reviews,human_vs_gpt,score_decision,divergence_concentration_spearman,0.16223919033609419,0.5964232806352542,13,14
baseline,reviews,human_vs_pooled_ai,score_decision,score_sd_human,0.7362958204107177,,13,14
baseline,reviews,human_vs_pooled_ai,score_decision,score_sd_ai,0.5076858938909606,,13,14
baseline,reviews,human_vs_pooled_ai,score_decision,score_sd_delta_ai_minus_human,-0.23076923076923078,0.09423828125,13,14
baseline,reviews,human_vs_pooled_ai,score_decision,rank_agreement_spearman,0.4587064998880721,0.09899426636739234,13,14
baseline,reviews,human_vs_pooled_ai,score_decision,disagreement_predicts_divergence_spearman,-0.033195814566713375,0.9142675485581291,13,14
baseline,reviews,human_vs_pooled_ai,score_decision,divergence_concentration_spearman,0.24650246772280487,0.4168676498529311,13,14
one_at_a_time,reviews,human_vs_claude,score_decision,score_sd_human,0.7362958204107177,,13,14
one_at_a_time,reviews,human_vs_claude,score_decision,score_sd_ai,0.07505100273093615,,13,14
one_at_a_time,reviews,human_vs_claude,score_decision,score_sd_delta_ai_minus_human,-1.0,0.00048828125,13,14
one_at_a_time,reviews,human_vs_claude,score_decision,rank_agreement_spearman,0.2815347259061215,0.32950515329309815,13,14
one_at_a_time,reviews,human_vs_claude,score_decision,disagreement_predicts_divergence_spearman,0.16783364517526986,0.5836422829795668,13,14
one_at_a_time,reviews,human_vs_claude,score_decision,divergence_concentration_spearman,0.18055625214737825,0.5549929667070733,13,14
one_at_a_time,reviews,human_vs_gemini,score_decision,score_sd_human,0.7362958204107177,,13,14
one_at_a_time,reviews,human_vs_gemini,score_decision,score_sd_ai,0.3152104794244704,,13,14
one_at_a_time,reviews,human_vs_gemini,score_decision,score_sd_delta_ai_minus_human,-0.6923076923076923,0.006103515625,13,14
one_at_a_time,reviews,human_vs_gemini,score_decision,rank_agreement_spearman,0.3397429693866222,0.23465718585477022,13,14
one_at_a_time,reviews,human_vs_gemini,score_decision,disagreement_predicts_divergence_spearman,0.30929532652290526,0.3038029829194359,13,14
one_at_a_time,reviews,human_vs_gemini,score_decision,divergence_concentration_spearman,0.2114049332590229,0.4881034546656731,13,14
one_at_a_time,reviews,human_vs_gpt,score_decision,score_sd_human,0.7362958204107177,,13,14
one_at_a_time,reviews,human_vs_gpt,score_decision,score_sd_ai,0.10357001242413656,,13,14
one_at_a_time,reviews,human_vs_gpt,score_decision,score_sd_delta_ai_minus_human,-1.0,0.00048828125,13,14
one_at_a_time,reviews,human_vs_gpt,score_decision,rank_agreement_spearman,0.5150140200849772,0.059484688595086516,13,14
one_at_a_time,reviews,human_vs_gpt,score_decision,disagreement_predicts_divergence_spearman,-0.18472293488924083,0.5457403450606946,13,14
one_at_a_time,reviews,human_vs_gpt,score_decision,divergence_concentration_spearman,-0.2108809917804734,0.48920736551820354,13,14
one_at_a_time,reviews,human_vs_pooled_ai,score_decision,score_sd_human,0.7362958204107177,,13,14
one_at_a_time,reviews,human_vs_pooled_ai,score_decision,score_sd_ai,0.34221700473657435,,13,14
one_at_a_time,reviews,human_vs_pooled_ai,score_decision,score_sd_delta_ai_minus_human,-0.8461538461538461,0.008056640625,13,14
one_at_a_time,reviews,human_vs_pooled_ai,score_decision,rank_agreement_spearman,0.4444543213168846,0.11133080305764972,13,14
one_at_a_time,reviews,human_vs_pooled_ai,score_decision,disagreement_predicts_divergence_spearman,0.2773949116797356,0.35884091521522565,13,14
one_at_a_time,reviews,human_vs_pooled_ai,score_decision,divergence_concentration_spearman,0.40226984803819005,0.17298522694064963,13,14
persona,reviews,human_vs_claude,score_decision,score_sd_human,0.7362958204107177,,13,14
persona,reviews,human_vs_claude,score_decision,score_sd_ai,0.24878221411376608,,13,14
persona,reviews,human_vs_claude,score_decision,score_sd_delta_ai_minus_human,-0.8461538461538461,0.003173828125,13,14
persona,reviews,human_vs_claude,score_decision,rank_agreement_spearman,0.37473310909089225,0.1867927349364403,13,14
persona,reviews,human_vs_claude,score_decision,disagreement_predicts_divergence_spearman,0.21418657711769426,0.48226203898343545,13,14
persona,reviews,human_vs_claude,score_decision,divergence_concentration_spearman,0.275914693985185,0.3615169444479439,13,14
